Source;Human;Mouse;Function;Location;Target;Human;Mouse;Function;Location;Effects;Type of interaction;PubMedID
RIP;Q13546;Q60855;Kinase;Cytosol;SEQUESTOSOME;Q13501;O08623;Adapter;Cytosol;+;Binding;10356400
TRADD;Q15628;NA;Adapter;Cytosol;RIP;Q13546;Q60855;Kinase;Cytosol;+;Binding;8612133
TNIK;Q9UKE5;P83510;Kinase;Cytosol;GELSOLIN;P06396;P13020;Cytoskeleton;Cytosol;_;Phosphorylation;10521462
TNIK;Q9UKE5;P83510;Kinase;Cytosol;TRAF2;Q12933;P39429;Adapter;Cytosol;0;Binding;10521462
TNIK;Q9UKE5;P83510;Kinase;Cytosol;NCK;P16333;Q60631;Adapter;Cytosol;0;Binding;10521462
TRADD;Q15628;NA;Adapter;Cytosol;TRAF2;Q12933;P39429;Adapter;Cytosol;+;Binding;10911999
TNFR1;P19438;P25118;Receptor;Membrane;TRADD;Q15628;NA;Adapter;Cytosol;+;Binding;7758105
TNFR1;P19438;P25118;Receptor;Membrane;MADD;O15293;Q80WM2;Adapter;Cytosol;+;Binding;9115275
TNFALPHA;P01375;P06804;Ligand;Extracellular;TNFR1;P19438;P25118;Receptor;Membrane;+;Binding;8397073
CASPASE3;P42574;P70677;Protease;Cytosol;PTEN;P60483;O08586;Phosphatase;Cytosol;_;Cleavage;12788938
DELTA_CATENIN;Q9UQB3;O35927;Adapter;Cytosol;PRESENILIN;P49768;P49769;Protease;Membrane;0;Binding;9223106
DENSIN;Q15003;Q9JI18;Adapter;Cytosol;DELTA_CATENIN;Q9UQB3;O35927;Adapter;Cytosol;0;Binding;11729199
ERBIN;Q96RT1;Q80TH2;Adapter;Cytosol;DELTA_CATENIN;Q9UQB3;O35927;Adapter;Cytosol;0;Binding;11821434
ABL;P00519;P00520;Kinase;Cytosol;DELTA_CATENIN;Q9UQB3;O35927;Adapter;Cytosol;+;Phosphorylation;11891774
NCADHERIN;P19022;P39038;CellAdhesion;Membrane;DELTA_CATENIN;Q9UQB3;O35927;Adapter;Cytosol;+;Binding;12835311
DELTA_CATENIN;Q9UQB3;O35927;Adapter;Cytosol;CORTACTIN;Q14247;Q60598;Cytoskeleton;Cytosol;+;Binding;12835311
DELTA_CATENIN;Q9UQB3;O35927;Adapter;Cytosol;SPHK;Q9NYA1;Q9JIA7;Kinase;Cytosol;+;Binding;15193146
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;SYNAPSIN;P17600;O88935;Vesicle;Vesicles;_;Phosphorylation;7890745
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;SYNAPSIN;P17600;O88935;Vesicle;Vesicles;_;Phosphorylation;9016342
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;MAP2;P11137;P20357;Cytoskeleton;Cytosol;+;Phosphorylation;7890745
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;MAP2;P11137;P20357;Cytoskeleton;Cytosol;+;Phosphorylation;9341200
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;AMPAR;P42261;P23818;Channel;Membrane;+;Phosphorylation;9197267
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;AMPAR;P42261;P23818;Channel;Membrane;+;Phosphorylation;10077673
CASPASE3;P42574;P70677;Protease;Cytosol;ICAD;O00273;O54786;Inhibitor;Cytosol;_;Cleavage;9422513
ICAD;O00273;O54786;Inhibitor;Cytosol;CAD;O76075;O54788;DNase;Nucleus;_;Binding;9422513
CASPASE3;P42574;P70677;Protease;Cytosol;ICAD;O00273;O54786;Inhibitor;Cytosol;_;Cleavage;12655299
ICAD;O00273;O54786;Inhibitor;Cytosol;CAD;O76075;O54788;DNase;Nucleus;_;Binding;12655299
PDK1;O15530;Q9Z2A0;Kinase;Cytosol;S6K;P23443;Q9Z1M4;Kinase;Cytosol;+;Phosphorylation;9427642
S6K;P23443;Q9Z1M4;Kinase;Cytosol;CFOS;P01100;P01101;TF;Nucleus;+;Phosphorylation;8248197
FRK;P42685;NA;Kinase;Cytosol;CFOS;P01100;P01101;TF;Nucleus;+;Phosphorylation;8072547
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;GIRK;P48549;P35562;Channel;Membrane;+;Binding;2433589
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;GIRK;P48549;P35562;Channel;Membrane;+;Binding;8145826
GABAAR;P14867;P18504;Receptor;Membrane;GABARAP;Q9BY60;P60518;Adapter;Cytosol;0;Binding;9892355
GABAAR;P14867;P18504;Receptor;Membrane;GABARAP;Q9BY60;P60518;Adapter;Cytosol;0;Binding;10984509
TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;GABARAP;Q9BY60;P60518;Adapter;Cytosol;0;Binding;9892355
TRKA;P04629;Q9Z139;Receptor;Membrane;SHC;P29353;Q61120;Adapter;Cytosol;+;Binding;8552402
TRKA;P04629;Q9Z139;Receptor;Membrane;SHC;P29353;Q61120;Adapter;Cytosol;+;Binding;8226808
TRKA;P04629;Q9Z139;Receptor;Membrane;SHC;P29353;Q61120;Adapter;Cytosol;+;Binding;15056278
GABAAR;P14867;P18504;Receptor;Membrane;GABARAP;Q9BY60;P60518;Adapter;Cytosol;0;Binding;11414770
GEPHYRIN;Q9NQX3;Q8BUV3;Adapter;Membrane;GABARAP;Q9BY60;P60518;Adapter;Cytosol;0;Binding;10900017
GEPHYRIN;Q9NQX3;Q8BUV3;Adapter;Membrane;TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;0;Binding;1319186
CALMODULIN;P62158;P62204;Activator;Cytosol;CAMKII;Q9UQM7;P11798;Kinase;Cytosol;+;Binding;3006921
TRKA;P04629;Q9Z139;Receptor;Membrane;GRIT;Q8IUG4;Q91V57;GAP;Cytosol;+;Binding;12446789
TRKA;P04629;Q9Z139;Receptor;Membrane;CRK;P46108;Q64010;Adapter;Cytosol;+;Binding;12446789
TRKA;P04629;Q9Z139;Receptor;Membrane;CRK;P46108;Q64010;Adapter;Cytosol;+;Binding;8552402
CRK;P46108;Q64010;Adapter;Cytosol;GRIT;Q8IUG4;Q91V57;GAP;Cytosol;+;Binding;12446789
JNK;P45983;Q91Y86;Kinase;Nucleus;CJUN;P05412;P05627;TF;Nucleus;+;Phosphorylation;1608942
CASPASE9;P55211;Q9R0T0;Protease;Cytosol;CASPASE6;P55212;O08738;Protease;Cytosol;+;Cleavage;9651578
CASPASE9;P55211;Q9R0T0;Protease;Cytosol;CASPASE6;P55212;O08738;Protease;Cytosol;+;Cleavage;12097334
CASPASE9;P55211;Q9R0T0;Protease;Cytosol;CASPASE3;P42574;P70677;Protease;Cytosol;+;Cleavage;9390557
CASPASE9;P55211;Q9R0T0;Protease;Cytosol;CASPASE7;P55210;P97864;Protease;Cytosol;+;Cleavage;9651578
ATF2;P15336;Q60765;TF;Nucleus;CJUN;P05412;P05627;TF;Nucleus;+;Binding;2320002
VRK1;Q99986;Q80X41;Kinase;Cytosol;ATF2;P15336;Q60765;TF;Nucleus;+;Phosphorylation;15105425
MGLUR1;Q13255;P97772;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;1847995
MGLUR1;Q13255;P97772;Receptor;Membrane;GALPHAQ;P50148;P21279;Gprotein;Cytosol;+;Binding;1847995
MGLUR5;Q13255;P97772;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;12351712
MGLUR5;Q13255;P97772;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;1320017
MGLUR5;Q13255;P97772;Receptor;Membrane;GALPHAQ;P50148;P21279;Gprotein;Cytosol;+;Binding;12351712
MGLUR5;Q13255;P97772;Receptor;Membrane;GALPHAQ;P50148;P21279;Gprotein;Cytosol;+;Binding;1320017
MGLUR5;Q13255;P97772;Receptor;Membrane;DYNAMIN;Q05193;P09922;GTPase;Vesicles;0;Binding;12646135
HOMER;Q9NSB8;Q99JP6;Adapter;Cytosol;DYNAMIN;Q05193;P09922;GTPase;Vesicles;0;Binding;12646135
PSD95;P78352;Q62108;Adapter;Cytosol;SYNGAP;Q96PV0;Q60790;GEF;Cytosol;0;Binding;9581761
PSD95;P78352;Q62108;Adapter;Cytosol;SYNGAP;Q96PV0;Q60790;GEF;Cytosol;0;Binding;9620694
CALMODULIN;P62158;P62204;Activator;Cytosol;IQGAP;P46940;Q9JKF1;GAP;Cytosol;+;Binding;8670801
CALMODULIN;P62158;P62204;Activator;Cytosol;IQGAP;P46940;Q9JKF1;GAP;Cytosol;+;Binding;11809768
IQGAP;P46940;Q9JKF1;GAP;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;_;GAP;8670801
INTEGRIN;P05556;P09055;CellAdhesion;Membrane;ILK;Q13418;O55222;Kinase;Cytosol;+;Binding;8538749
TCF;P36402;Q00417;TF;Nucleus;LEF1;Q9UJU2;P27782;TF;Nucleus;+;Binding;12032083
LEF1;Q9UJU2;P27782;TF;Nucleus;MITF;O75030;Q08874;TF;Nucleus;+;Binding;12032083
GSK3;P49840;Q9WV60;Kinase;Cytosol;MITF;O75030;Q08874;TF;Nucleus;+;Phosphorylation;10587587
NGF;P01138;P20181;Ligand;Extracellular;TRKA;P04629;Q9Z139;Receptor;Membrane;+;Binding;9547236
NGF;P01138;P20181;Ligand;Extracellular;TRKA;P04629;Q9Z139;Receptor;Membrane;+;Binding;9290260
NGF;P01138;P20181;Ligand;Extracellular;TRKA;P04629;Q9Z139;Receptor;Membrane;+;Binding;1706478
TRKA;P04629;Q9Z139;Receptor;Membrane;PLCGAMMA;P19174;Q62077;Phospholipase;Cytosol;+;Binding;8552402
APS;O14492;Q9JID9;Adapter;Cytosol;GRB2;P62993;Q60631;Adapter;Cytosol;0;Binding;9856458
APS;O14492;Q9JID9;Adapter;Cytosol;VAV;P15498;P27870;GEF;Cytosol;+;Binding;12400014
LCK;P06239;P08103;Kinase;Cytosol;VAV;P15498;P27870;GEF;Cytosol;+;Phosphorylation;12400014
LCK;P06239;P08103;Kinase;Cytosol;SOS;Q07889;Q02384;GEF;Cytosol;0;Binding;9856337
GRB2;P62993;Q60631;Adapter;Cytosol;SOS;Q07889;Q02384;GEF;Cytosol;+;Binding;8493579
GRB2;P62993;Q60631;Adapter;Cytosol;SOS;Q07889;Q02384;GEF;Cytosol;+;Binding;8479540
SOS;Q07889;Q02384;GEF;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;+;GEF;8493579
SOS;Q07889;Q02384;GEF;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;+;GEF;9690470
SOS;Q07889;Q02384;GEF;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;+;GEF;7923364
IRS1;P35568;P35569;Adapter;Cytosol;PI3K;P42336;P42337;Kinase;Cytosol;+;Binding;1381348
PDK1;O15530;Q9Z2A0;Kinase;Cytosol;PKB;P31749;Q60823;Kinase;Cytosol;+;Phosphorylation;9094314
PKA;P17612;P05132;Kinase;Cytosol;BAD;Q92934;Q61337;Bcl2Family;Mitochondria;_;Phosphorylation;10851172
RSK;Q15418;P18653;Kinase;Cytosol;BAD;Q92934;Q61337;Bcl2Family;Mitochondria;_;Phosphorylation;10976111
P1433;Q04917;P11576;Adapter;Cytosol;BAD;Q92934;Q61337;Bcl2Family;Mitochondria;_;Binding;8929531
RIM;Q86UR5;Q99NE5;Adapter;Vesicles;RABPHILIN;Q9Y2J0;P47708;Vesicle;Vesicles;+;Binding;11431472
RIM;Q86UR5;Q99NE5;Adapter;Vesicles;P1433;Q04917;P11576;Adapter;Cytosol;+;Binding;12871946
RIM;Q86UR5;Q99NE5;Adapter;Vesicles;RAB3;P20336;P05713;GTPase;Vesicles;+;Binding;9252191
RIM;Q86UR5;Q99NE5;Adapter;Vesicles;RAB3;P20336;P05713;GTPase;Vesicles;+;Binding;11431472
RIM;Q86UR5;Q99NE5;Adapter;Vesicles;MUNC13;O14795;Q9Z1N9;Vesicle;Vesicles;+;Binding;11343654
RIM;Q86UR5;Q99NE5;Adapter;Vesicles;SYNAPTOTAGMIN;P21579;P46096;Vesicle;Vesicles;+;Binding;11438518
RIM;Q86UR5;Q99NE5;Adapter;Vesicles;SNAP25;P60878;P60881;Vesicle;Vesicles;+;Binding;11438518
CAMPGEFII;Q8WZA2;Q8WZA2;GEF;Cytosol;RIM;Q86UR5;Q99NE5;Adapter;Vesicles;+;Binding;1105653
BAD;Q92934;Q61337;Bcl2Family;Mitochondria;BCLXL;Q07817;P70345;Bcl2Family;Mitochondria;+;Binding;9305851
BAD;Q92934;Q61337;Bcl2Family;Mitochondria;BCLXL;Q07817;P70345;Bcl2Family;Mitochondria;+;Binding;9388232
CREB;P16220;Q01147;TF;Nucleus;ATF1;P39905;P81269;TF;Nucleus;+;Binding;1655749
PKA;P17612;P05132;Kinase;Cytosol;ATF1;P39905;P81269;TF;Nucleus;+;Phosphorylation;1655749
PKA;P17612;P05132;Kinase;Cytosol;CREB;P16220;Q01147;TF;Nucleus;+;Phosphorylation;2875459
PKA;P17612;P05132;Kinase;Cytosol;CREB;P16220;Q01147;TF;Nucleus;+;Phosphorylation;2885756
MAPK;P28482;P27703;Kinase;Cytosol;RSK;Q15418;P18653;Kinase;Cytosol;+;Phosphorylation;8202512
MEK1;Q92918;Q8BPM2;Kinase;Cytosol;MAPK;P28482;P27703;Kinase;Cytosol;+;Phosphorylation;1381507
MEK1;Q92918;Q8BPM2;Kinase;Cytosol;MAPK;P28482;P27703;Kinase;Cytosol;+;Phosphorylation;8226933
RAF1;P04049;Q99N57;Kinase;Cytosol;MEK1;Q92918;Q8BPM2;Kinase;Cytosol;+;Phosphorylation;7624324
CALMODULIN;P62158;P62204;Activator;Cytosol;PMCA;P20020;Q9R0K7;Pump;Membrane;+;Binding;6455424
FIVEHT1AR;P08908;Q64264;Receptor;Membrane;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;+;Binding;1589591
GALPHAQ;P50148;P21279;Gprotein;Cytosol;PLCBETA;Q9NQ66;P51432;Phospholipase;Cytosol;+;Binding;1846707
GALPHAQ;P50148;P21279;Gprotein;Cytosol;PLCBETA;Q9NQ66;P51432;Phospholipase;Cytosol;+;Binding;1322796
GALPHAQ;P50148;P21279;Gprotein;Cytosol;PLCBETA;Q9NQ66;P51432;Phospholipase;Cytosol;+;Binding;1309799
RSK;Q15418;P18653;Kinase;Cytosol;CREB;P16220;Q01147;TF;Nucleus;+;Phosphorylation;8688081
MAPK;P28482;P27703;Kinase;Cytosol;MAPKAPK2;P49137;P49138;Kinase;Cytosol;+;Phosphorylation;1327754
PKA;P17612;P05132;Kinase;Cytosol;SYNAPSIN;P17600;O88935;Vesicle;Vesicles;_;Phosphorylation;3118371
CAMKI;Q14012;Q91YS8;Kinase;Cytosol;SYNAPSIN;P17600;O88935;Vesicle;Vesicles;_;Phosphorylation;3118371
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;SYNAPSIN;P17600;O88935;Vesicle;Vesicles;_;Phosphorylation;3118371
MAPK;P28482;P27703;Kinase;Cytosol;SYNAPSIN;P17600;O88935;Vesicle;Vesicles;_;Phosphorylation;8622996
MAPK;P28482;P27703;Kinase;Cytosol;SYNAPSIN;P17600;O88935;Vesicle;Vesicles;_;Phosphorylation;8702879
CDK5;Q00535;P49615;Kinase;Cytosol;SYNAPSIN;P17600;O88935;Vesicle;Vesicles;0;Phosphorylation;8702879
VAV;P15498;P27870;GEF;Cytosol;RAC;P15154;P15154;GTPase;Cytosol;+;GEF;8990121
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;TIAM1;Q13009;Q60610;GEF;Cytosol;+;Phosphorylation;10212259
PKC;P17252;P05697;Kinase;Cytosol;TIAM1;Q13009;Q60610;GEF;Cytosol;0;Phosphorylation;10212259
PKC;P17252;P05697;Kinase;Cytosol;TIAM1;Q13009;Q60610;GEF;Cytosol;0;Phosphorylation;9407095
TIAM1;Q13009;Q60610;GEF;Cytosol;RAC;P15154;P15154;GTPase;Cytosol;+;GEF;10212259
GRB2;P62993;Q60631;Adapter;Cytosol;VAV;P15498;P27870;GEF;Cytosol;+;Binding;7809090
ZAP70;P43403;P05480;Kinase;Cytosol;VAV;P15498;P27870;GEF;Cytosol;+;Binding;7798261
SRC;P12931;P05480;Kinase;Cytosol;VAV;P15498;P27870;GEF;Cytosol;+;Phosphorylation;1311423
SRC;P12931;P05480;Kinase;Cytosol;VAV;P15498;P27870;GEF;Cytosol;+;Phosphorylation;1531699
RASGRP3;Q8IV61;Q91ZC8;GEF;Cytosol;RAS;P01111;P08556;GTPase;Cytosol;+;GEF;10934204
RASGRP3;Q8IV61;Q91ZC8;GEF;Cytosol;RAP1;P10113;P10113;GTPase;Cytosol;+;GEF;10934204
PKC;P17252;P05697;Kinase;Cytosol;RASGRP3;Q8IV61;Q91ZC8;GEF;Cytosol;+;Phosphorylation;12730099
RAS;P01111;P08556;GTPase;Cytosol;RALGDS;Q12967;Q03385;GEF;Cytosol;+;Binding;7809086
RAP1;P10113;P10113;GTPase;Cytosol;RALGDS;Q12967;Q03385;GEF;Cytosol;+;Binding;7809086
RALGDS;Q12967;Q03385;GEF;Cytosol;RAL;P11233;P05810;GTPase;Cytosol;+;GEF;8094051
ABL;P00519;P00520;Kinase;Cytosol;GRB2;P62993;Q60631;Adapter;Cytosol;0;Binding;8112292
ABL;P00519;P00520;Kinase;Cytosol;SHC;P29353;Q61120;Adapter;Cytosol;0;Binding;8112292
PSD95;P78352;Q62108;Adapter;Cytosol;NEUROLIGIN;Q8N2Q7;Q99K10;CellAdhesion;Membrane;0;Binding;9278515
CALMODULIN;P62158;P62204;Activator;Cytosol;NOS;P29475;Q9Z0J4;Synthase;Cytosol;+;Binding;1722402
CALMODULIN;P62158;P62204;Activator;Cytosol;NOS;P29475;Q9Z0J4;Synthase;Cytosol;+;Binding;7493936
RAC;P15154;P15154;GTPase;Cytosol;PAK;Q13153;O88643;Kinase;Cytosol;+;Binding;8107774
CDC42;P60953;P60766;GTPase;Cytosol;PAK;Q13153;O88643;Kinase;Cytosol;+;Binding;810774
NEUROLIGIN;Q8N2Q7;Q99K10;CellAdhesion;Membrane;NEUREXIN;P78357;O54991;CellAdhesion;Membrane;0;Binding;7736595
CREM;Q03060;Q01147;TF;Nucleus;DREAM;Q9Y2W7;Q9QXT8;TF;Nucleus;_;Binding;11094064
DREAM;Q9Y2W7;Q9QXT8;TF;Nucleus;CREB;P16220;Q01147;TF;Nucleus;_;Binding;12198160
MSK1;O75582;Q8C050;Kinase;Cytosol;CREB;P16220;Q01147;TF;Nucleus;+;Phosphorylation;9687510
P38;Q16539;P47811;Kinase;Cytosol;MSK1;O75582;Q8C050;Kinase;Cytosol;+;Phosphorylation;9687510
MAPK;P28482;P27703;Kinase;Cytosol;MSK1;O75582;Q8C050;Kinase;Cytosol;+;Phosphorylation;9687510
S6K;P23443;Q9Z1M4;Kinase;Cytosol;CREM;Q03060;Q01147;TF;Nucleus;+;Phosphorylation;7923380
P38;Q16539;P47811;Kinase;Cytosol;MAPKAPK2;P49137;P49138;Kinase;Cytosol;+;Phosphorylation;7923353
P38;Q16539;P47811;Kinase;Cytosol;MAPKAPK2;P49137;P49138;Kinase;Cytosol;+;Phosphorylation;7592979
MAPK;P28482;P27703;Kinase;Cytosol;MAPKAPK2;P49137;P49138;Kinase;Cytosol;+;Phosphorylation;7592979
NCK;P16333;Q60631;Adapter;Cytosol;PAK;Q13153;O88643;Kinase;Cytosol;+;Binding;9024622
NCK;P16333;Q60631;Adapter;Cytosol;PAK;Q13153;O88643;Kinase;Cytosol;+;Binding;11096073
NCK;P16333;Q60631;Adapter;Cytosol;PAK;Q13153;O88643;Kinase;Cytosol;+;Binding;8824201
NCK;P16333;Q60631;Adapter;Cytosol;PAK;Q13153;O88643;Kinase;Cytosol;+;Binding;9755165
MEK6;Q8N4C8;Q8N4C8;Kinase;Cytosol;P38;Q16539;P47811;Kinase;Cytosol;+;Phosphorylation;8626699
P38;Q16539;P47811;Kinase;Cytosol;MNK1;Q9BXL6;Q99KF0;Kinase;Cytosol;+;Phosphorylation;9155018
MAPK;P28482;P27703;Kinase;Cytosol;MNK1;Q9BXL6;Q99KF0;Kinase;Cytosol;+;Phosphorylation;9155018
P38;Q16539;P47811;Kinase;Cytosol;MNK1;Q9BXL6;Q99KF0;Kinase;Cytosol;+;Phosphorylation;9155017
MAPK;P28482;P27703;Kinase;Cytosol;MNK1;Q9BXL6;Q99KF0;Kinase;Cytosol;+;Phosphorylation;9155017
MNK1;Q9BXL6;Q99KF0;Kinase;Cytosol;EIF4E;P06730;P20415;Adapter;Ribosomes;+;Phosphorylation;9155017
MNK1;Q9BXL6;Q99KF0;Kinase;Cytosol;EIF4E;P06730;P20415;Adapter;Ribosomes;+;Phosphorylation;10022874
CBP;Q92793;P45481;TF;Nucleus;SRF;P11831;NA;TF;Nucleus;0;Binding;9388250
TCF;P36402;Q00417;TF;Nucleus;SRF;P11831;NA;TF;Nucleus;+;Binding;2108863
ELK1;P19419;P41969;TF;Nucleus;TCF;P36402;Q00417;TF;Nucleus;0;Binding;1722028
MAPK;P28482;P27703;Kinase;Cytosol;ELK1;P19419;P41969;TF;Nucleus;+;Phosphorylation;8477450
MAPK;P28482;P27703;Kinase;Cytosol;ELK1;P19419;P41969;TF;Nucleus;+;Phosphorylation;9501095
CBP;Q92793;P45481;TF;Nucleus;CJUN;P05412;P05627;TF;Nucleus;+;Binding;8545107
CBP;Q92793;P45481;TF;Nucleus;STAT;P42224;P42227;TF;Nucleus;0;Binding;8848048
CBP;Q92793;P45481;TF;Nucleus;ELK1;P19419;P41969;TF;Nucleus;+;Binding;8941362
CBP;Q92793;P45481;TF;Nucleus;TCF;P36402;Q00417;TF;Nucleus;_;Binding;9388250
CALMODULIN;P62158;P62204;Activator;Cytosol;CAMKIV;Q16566;P08414;Kinase;Cytosol;+;Binding;8340352
CALMODULIN;P62158;P62204;Activator;Cytosol;AC1;Q08828;Q01341;Cyclase;Cytosol;+;Binding;8417150
CALMODULIN;P62158;P62204;Activator;Cytosol;AC1;Q08828;Q01341;Cyclase;Cytosol;+;Binding;7685187
CALMODULIN;P62158;P62204;Activator;Cytosol;AC1;Q08828;Q01341;Cyclase;Cytosol;+;Binding;2022671
CALMODULIN;P62158;P62204;Activator;Cytosol;CALCINEURIN;P06705;P61023;Phosphatase;Cytosol;+;Binding;293720
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;PLCBETA;Q9NQ66;P51432;Phospholipase;Cytosol;+;Binding;1465133
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;PLCBETA;Q9NQ66;P51432;Phospholipase;Cytosol;+;Binding;8387502
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;PLCBETA;Q9NQ66;P51432;Phospholipase;Cytosol;+;Binding;8306983
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;PLCBETA;Q9NQ66;P51432;Phospholipase;Cytosol;+;Binding;1465134
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;PLCBETA;Q9NQ66;P51432;Phospholipase;Cytosol;+;Binding;9307019
GALPHAQ;P50148;P21279;Gprotein;Cytosol;PLCBETA;Q9NQ66;P51432;Phospholipase;Cytosol;+;Binding;8387502
CAMKIV;Q16566;P08414;Kinase;Cytosol;CREB;P16220;Q01147;TF;Nucleus;+;Phosphorylation;8195196
CAMKIV;Q16566;P08414;Kinase;Cytosol;CREB;P16220;Q01147;TF;Nucleus;+;Phosphorylation;11970865
M2R;P08172;Q9ERZ4;Receptor;Membrane;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;+;Binding;8786435
M2R;P08172;Q9ERZ4;Receptor;Membrane;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;+;Binding;3919024
M2R;P08172;Q9ERZ4;Receptor;Membrane;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;+;Binding;3929139
