symbol	entrezID	CAM type	Inter Pro	GO	NCBI	Sum	name				
NLGN4Y	22829	i	1	1	1	3	neuroligin 4, Y-linked 				
NRCAM	4897	i	1	1	1	3	neuronal cell adhesion molecule 				
NRXN1	9378	i	1	1	1	3	neurexin 1 				
NRXN2	9379	i	1	1	1	3	neurexin 2 				
NRXN3	9369	i	1	1	1	3	neurexin 3 				
PCDHA1	56147	i	1	1	1	3	protocadherin alpha 1 				
PCDHA10	56139	i	1	1	1	3	protocadherin alpha 10 	 	 	 	 
PCDHA11	56138	i	1	1	1	3	protocadherin alpha 11 				
PCDHA2	56146	i	1	1	1	3	protocadherin alpha 2 				
PCDHA3	56145	i	1	1	1	3	protocadherin alpha 3 				
PCDHA4	56144	i	1	1	1	3	protocadherin alpha 4 				
PCDHA5	56143	i	1	1	1	3	protocadherin alpha 5 				
PCDHA6	56142	i	1	1	1	3	protocadherin alpha 6 				
PCDHA7	56141	i	1	1	1	3	protocadherin alpha 7 				
PCDHA8	56140	i	1	1	1	3	protocadherin alpha 8 				
PCDHAC1	56135	i	1	1	1	3	protocadherin alpha subfamily C1 				
PCDHAC2	56134	i	1	1	1	3	protocadherin alpha subfamily C2 				
PCDHB10	56126	i	1	1	1	3	protocadherin beta 10 				
PCDHB11	56125	i	1	1	1	3	protocadherin beta 11 				
PCDHB12	56124	i	1	1	1	3	protocadherin beta 12 				
PCDHB13	56123	i	1	1	1	3	protocadherin beta 13 				
PCDHB14	56122	i	1	1	1	3	protocadherin beta 14 				
PCDHB15	56121	i	1	1	1	3	protocadherin beta 15 				
PCDHB16	57717	i	1	1	1	3	protocadherin beta 16 				
PCDHB2	56133	i	1	1	1	3	protocadherin beta 2 				
PCDHB3	56132	i	1	1	1	3	protocadherin beta 3 				
PCDHB4	56131	i	1	1	1	3	protocadherin beta 4 				
PCDHB5	26167	i	1	1	1	3	protocadherin beta 5 				
PCDHB6	56130	i	1	1	1	3	protocadherin beta 6 				
PCDHB9	56127	i	1	1	1	3	protocadherin beta 9 				
PCDHGB4	8641	i	1	1	1	3	protocadherin gamma subfamily B 4 				
PCDHGC3	5098	i	1	1	1	3	protocadherin gamma subfamily C 3 				
PTPRC	5788	i	1	1	1	3	receptor type protein tyrosine phosphatase C 				
PTPRD	5789	i	1	1	1	3	receptor type protein tyrosine phosphataseD 				
PTPRJ	5795	i	1	1	1	3	receptor type protein tyrosine phosphatase J 				
PTPRK	5796	i	1	1	1	3	receptor type protein tyrosine phosphatase K 				
PTPRM	5797	i	1	1	1	3	receptor type protein tyrosine phosphatase M 				
PTPRT	11122	i	1	1	1	3	receptor type protein tyrosine phosphatase T 				
PTPRU	10076	i	1	1	1	3	receptor type protein tyrosine phosphatase U 				
FN1	2335	m	1	1	1	3	fibronectin 1 				
ITGA11	22801	m	1	1	1	3	integrin alpha 11 				
ITGA2	3673	m	1	1	1	3	integrin alpha 2 				
ITGA2B	3674	m	1	1	1	3	integrin alpha 2b 				
ITGA4	3676	m	1	1	1	3	integrin alpha 4 				
ITGA5	3678	m	1	1	1	3	integrin alpha 5 				
ITGA7	3679	m	1	1	1	3	integrin alpha 7 				
ITGA8	8516	m	1	1	1	3	integrin alpha 8 				
ITGA9	3680	m	1	1	1	3	integrin alpha 9 				
ITGAL	3683	m	1	1	1	3	integrin alpha L 				
ITGAM	3684	m	1	1	1	3	integrin alpha M 				
ITGAV	3685	m	1	1	1	3	integrin alpha V 				
ITGB1	3688	m	1	1	1	3	integrin beta 1 				
ITGB2	3689	m	1	1	1	3	integrin beta 2				
ITGB3	3690	m	1	1	1	3	integrin beta 3 				
ITGB4	3691	m	1	1	1	3	integrin beta 4 				
ITGB6	3694	m	1	1	1	3	integrin beta 6 				
ITGB8	3696	m	1	1	1	3	integrin beta 8 				
TEK	7010	m	1	1	1	3	TEK tyrosine kinase, endothelial 				
THY1	7070	m	1	1	1	3	Thy-1 cell surface antigen 				
TNR	7143	m	1	1	1	3	tenascin R 				
TNXB	7148	m	1	1	1	3	tenascin XB 				
ROBO1	6091	ag	1	1	1	3	roundabout axon guidance receptor homolog 1				
ROBO2	6092	ag	1	1	1	3	roundabout axon guidance receptor homolog 2 				
SEMA4D	10507	ag	1	1	1	3	semaphorin 4D 				
PVRL2	5819	aj	1	1	1	3	poliovirus receptor-related 2 				
CDON	50937	c	1	1	1	3	cell adhesion associated oncogene regulated 				
VCAM1	7412	c	1	1	1	3	vascular cell adhesion molecule 1 				
DSC2	1824	fa	1	1	1	3	desmocollin 2 				
DSC3	1825	fa	1	1	1	3	desmocollin 3 				
DSG1	1828	fa	1	1	1	3	desmoglein 1 				
DSG2	1829	fa	1	1	1	3	desmoglein 2 				
AMICA1	120425	i	0	1	1	2	adhesion molecule, interacts with CXADR antigen 1 				
AMIGO1	57463	i	0	1	1	2	adhesion molecule with Ig-like domain 1 				
AMIGO2	347902	i	0	1	1	2	adhesion molecule with Ig-like domain 2 				
AMIGO3	386724	i	0	1	1	2	adhesion molecule with Ig-like domain 3 				
ASTN1	460	i	1	0	1	2	astrotactin 1 				
BCAM	4059	i	0	1	1	2	basal cell adhesion molecule 				
BOC	91653	i	1	0	1	2	BOC cell adhesion associated oncogene regulated 				
CADM1	23705	i	0	1	1	2	cell adhesion molecule 1 				
CADM3	57863	i	0	1	1	2	cell adhesion molecule 3 				
CD151	977	i	0	1	1	2	CD151 molecule  				
CDH12	1010	i	1	0	1	2	cadherin 12				
CDH18	1016	i	1	0	1	2	cadherin 18				
CDH19	28513	i	1	0	1	2	cadherin 19				
CDH20	28316	i	1	0	1	2	cadherin 20				
CDH22	64405	i	1	0	1	2	cadherin 22				
CDH26	60437	i	1	0	1	2	cadherin 26 				
CDH5	1003	i	1	0	1	2	cadherin 5				
CDHR1	92211	i	1	0	1	2	cadherin-related family member 1 				
CDHR3	222256	i	1	0	1	2	cadherin-related family member 3 				
CDHR4	389118	i	1	0	1	2	cadherin-related family member 4 				
CELSR1	9620	i	1	0	1	2	cadherin, EGF LAG seven-pass G-type receptor 1 				
CELSR3	1951	i	1	0	1	2	cadherin, EGF LAG seven-pass G-type receptor 3 				
CERCAM	51148	i	0	1	1	2	cerebral endothelial cell adhesion molecule 				
CHL1	10752	i	1	0	1	2	cell adhesion molecule L1-like 				
CLSTN2	64084	i	1	0	1	2	calsyntenin 2 				
CLSTN3	9746	i	1	0	1	2	calsyntenin 3 				
CNTN1	1272	i	1	0	1	2	contactin 1 				
CNTN2	6900	i	1	0	1	2	contactin 2 				
CNTN3	5067	i	1	0	1	2	contactin 3 				
CNTN5	53942	i	1	0	1	2	contactin 5 				
CNTN6	27255	i	1	0	1	2	contactin 6 				
CTNNA1	1495	i	0	1	1	2	catenin alpha 1				
CTNNA2	1496	i	0	1	1	2	catenin alpha 2 				
CTNNA3	29119	i	0	1	1	2	catenin alpha 3 				
CTNNB1	1499	i	0	1	1	2	catenin  beta 1				
CTNND1	1500	i	0	1	1	2	catenin delta 1 				
CTNND2	1501	i	0	1	1	2	catenin delta 2 				
DCHS2	54798	i	1	0	1	2	dachsous cadherin-related 2 				
DDR1	780	i	0	1	1	2	discoidin domain receptor tyrosine kinase 1 				
EFNA1	1942	i	0	1	1	2	ephrin A1 				
EFNA5	1946	i	0	1	1	2	ephrin A5 				
EFNB1	1947	i	0	1	1	2	ephrin B1 				
EFNB2	1948	i	0	1	1	2	ephrin B2 				
EMR1	2015	i	0	1	1	2	egf-like module containing mucin-like hormone receptor-like 1 				
EMR2	30817	i	0	1	1	2	egf-like module containing mucin-like hormone receptor-like 2 				
EPHA1	2041	i	1	1	0	2	eph tyrosine kinase 1 				
EPHA4	2043	i	1	0	1	2	EPH receptor A4 				
EPHB1	2047	i	1	1	0	2	eph tyrosine kinase 2				
FAT3	120114	i	1	0	1	2	FAT atypical cadherin 3 				
FEZ1	9638	i	0	1	1	2	fasciculation and elongation protein zeta 1				
FLRT1	23769	i	1	0	1	2	fibronectin leucine rich transmembrane protein 1 				
FLRT2	23768	i	1	0	1	2	fibronectin leucine rich transmembrane protein 2 				
FLRT3	23767	i	1	0	1	2	fibronectin leucine rich transmembrane protein 3 				
GAS6	2621	i	0	1	1	2	growth arrest-specific 6 				
GPR56	9289	i	0	1	1	2	G protein coupled receptor 56 				
ICAM1	3383	i	0	1	1	2	intercellular adhesion molecule 1 				
IL1RAPL1	11141	i	0	1	1	2	interleukin 1 receptor accessory protein-like 1 				
KIRREL2	84063	i	0	1	1	2	kin of IRRE like 2 				
LPHN1	22859	i	0	1	1	2	latrophilin 1 				
LRFN3	79414	i	1	0	1	2	leucine rich repeat and fibronectin type III domain containing 3 				
MAEA	10296	i	0	1	1	2	macrophage erythroblast attacher 				
MCAM	4162	i	1	0	1	2	melanoma cell adhesion molecule 				
MEGF10	84466	i	0	1	1	2	multiple EGF-like-domains 10 				
MEGF11	84465	i	0	1	1	2	multiple EGF-like-domains 11 				
MIA3	375056	i	0	1	1	2	melanoma inhibitory activity family, member 3 				
NCAM1	4684	i	1	0	1	2	neural cell adhesion molecule 1 				
NEO1	4756	i	1	0	1	2	neogenin 1 				
NFASC	23114	i	1	0	1	2	neurofascin 				
NINJ2	4815	i	0	1	1	2	ninjurin 2 				
NPHS1	4868	i	1	0	1	2	nephrin 				
NPTN	27020	i	0	1	1	2	neuroplastin 				
NRG1	3084	i	0	1	1	2	neuregulin 1 				
NRP2	8828	i	0	1	1	2	neuropilin 2 				
OPCML	4978	i	1	0	1	2	opioid binding protein 				
PCDH1	5097	i	1	0	1	2	protocadherin 1 				
PCDH10	57575	i	1	0	1	2	protocadherin 10 				
PCDH11X	27328	i	1	0	1	2	protocadherin 11 X-linked 				
PCDH11Y	83259	i	1	0	1	2	protocadherin 11 Y-linked 				
PCDH12	51294	i	1	0	1	2	protocadherin 12 				
PCDH15	65217	i	1	0	1	2	protocadherin-related 15 				
PCDH17	27253	i	1	0	1	2	protocadherin 17 				
PCDH18	54510	i	1	0	1	2	protocadherin 18 				
PCDH19	57526	i	1	0	1	2	protocadherin 19 				
PCDH20	64881	i	1	0	1	2	protocadherin 20 				
PCDH7	5099	i	1	0	1	2	protocadherin 7 				
PCDH8	5100	i	1	0	1	2	protocadherin 8 				
PCDH9	5101	i	1	0	1	2	protocadherin 9 				
PCDHA12	56137	i	1	0	1	2	protocadherin alpha 12 				
PCDHA13	56136	i	1	0	1	2	protocadherin alpha 13 				
PCDHA9	9752	i	1	0	1	2	protocadherin alpha 9 				
PCDHB1	29930	i	1	0	1	2	protocadherin beta 1 				
PCDHB18	54660	i	1	0	1	2	protocadherin beta 18 				
PCDHB7	56129	i	1	0	1	2	protocadherin beta 7 				
PCDHB8	56128	i	1	0	1	2	protocadherin beta 8 				
PCDHGA1	56114	i	1	0	1	2	protocadherin gamma subfamily A, 1 				
PCDHGA10	56106	i	1	0	1	2	protocadherin gamma subfamily A, 10 				
PCDHGA11	56105	i	1	0	1	2	protocadherin gamma subfamily A, 11 				
PCDHGA12	26025	i	1	0	1	2	protocadherin gamma subfamily A, 12 				
PCDHGA2	56113	i	1	0	1	2	protocadherin gamma subfamily A, 2 				
PCDHGA3	56112	i	1	0	1	2	protocadherin gamma subfamily A, 3 				
PCDHGA4	56111	i	1	0	1	2	protocadherin gamma subfamily A, 4 				
PCDHGA5	56110	i	1	0	1	2	protocadherin gamma subfamily A, 5 				
PCDHGA6	56109	i	1	0	1	2	protocadherin gamma subfamily A, 6 				
PCDHGA7	56108	i	1	0	1	2	protocadherin gamma subfamily A, 7 				
PCDHGA8	9708	i	1	0	1	2	protocadherin gamma subfamily A, 8 				
PCDHGA9	56107	i	1	0	1	2	protocadherin gamma subfamily A, 9 				
PCDHGB1	56104	i	1	0	1	2	protocadherin gamma subfamily B, 1 				
PCDHGB2	56103	i	1	0	1	2	protocadherin gamma subfamily B, 2 				
PCDHGB3	56102	i	1	0	1	2	protocadherin gamma subfamily B, 3 				
PCDHGB5	56101	i	1	0	1	2	protocadherin gamma subfamily B, 5 				
PCDHGB6	56100	i	1	0	1	2	protocadherin gamma subfamily B, 6 				
PCDHGB7	56099	i	1	0	1	2	protocadherin gamma subfamily B, 7 				
PCDHGC4	56098	i	1	0	1	2	protocadherin gamma subfamily C, 4 				
PCDHGC5	56097	i	1	0	1	2	protocadherin gamma subfamily C, 5 				
POSTN	10631	i	0	1	1	2	periostin				
PTPRF	5792	i	1	0	1	2	receptor type protein tyrosine phosphatase F 				
PTPRO	5800	i	1	1	0	2	receptor-type tyrosine-protein phosphatase O				
PTPRS	5802	i	1	0	1	2	receptor type protein tyrosine phosphatase S 				
SDK1	221935	i	1	0	1	2	sidekick cell adhesion molecule 1 				
SDK2	54549	i	1	0	1	2	sidekick cell adhesion molecule 2 				
SSPN	8082	i	0	1	1	2	sarcospan 				
CD36	948	m	0	1	1	2	CD36 molecule 				
CD44	960	m	0	1	1	2	CD44 molecule 				
FREM2	341640	m	1	0	1	2	FRAS1 related extracellular matrix protein 2 				
FREM3	166752	m	0	1	1	2	FRAS1 related extracellular matrix 3 				
ITGA10	8515	m	1	1	0	2	integrin alpha-10				
ITGA3	3675	m	1	1	0	2	integrin alpha-3				
ITGA6	3655	m	1	0	1	2	integrin alpha 6 				
ITGAD	3681	m	1	0	1	2	integrin alpha D 				
ITGAE	3682	m	1	0	1	2	integrin alpha E				
ITGAX	3687	m	1	0	1	2	integrin alpha X				
ITGB1BP1	9270	m	0	1	1	2	integrin beta 1 binding protein 1 				
ITGB3BP	23421	m	0	1	1	2	integrin beta 3 binding protein 				
ITGB5	3693	m	1	0	1	2	integrin beta 5 				
ITGB7	3695	m	1	0	1	2	integrin beta 7 				
ITGBL1	9358	m	0	1	1	2	integrin beta-like 1 				
KAL1	3730	m	1	0	1	2	Kallmann syndrome 1 sequence 				
LAMA5	3911	m	0	1	1	2	laminin alpha 5 				
LAMB1	3912	m	0	1	1	2	laminin beta 1 				
LAMC1	3915	m	0	1	1	2	laminin gamma 1  				
NID2	22795	m	0	1	1	2	nidogen 2 				
OLFM4	10562	m	0	1	1	2	olfactomedin 4 				
PVR	5817	m	1	0	1	2	poliovirus receptor 				
REG3A	5068	m	0	1	1	2	regenerating islet-derived 3 alpha 				
TGFBI	7045	m	0	1	1	2	transforming growth factor, beta-induced, 68kDa 				
THBS1	7057	m	0	1	1	2	thrombospondin 1 				
THBS4	7060	m	0	1	1	2	thrombospondin 4 				
TINAG	27283	m	0	1	1	2	tubulointerstitial nephritis antigen 				
TNC	3371	m	1	0	1	2	tenascin C 				
WNT1	7471	m	0	1	1	2	wingless-type MMTV integration site family, member 1 				
PLXNC1	10154	ag	0	1	1	2	plexin C1 				
RGMB	285704	ag	0	1	1	2	repulsive guidance molecule family member b 				
SEMA3E	9723	ag	1	1	0	2	semaphorin 3E				
SEMA5A	9037	ag	0	1	1	2	semaphorin 5A 				
DLG1	1739	aj	0	1	1	2	discs large homolog 1 				
DLG5	9231	aj	0	1	1	2	discs large homolog 5  				
PVRL3	25945	aj	0	1	1	2	poliovirus receptor-related 3 				
PVRL4	81607	aj	1	0	1	2	poliovirus receptor-related 4 				
BYSL	705	c	0	1	1	2	bystin-like 				
CD2	914	c	0	1	1	2	CD2 molecule 				
CD24	100000000	c	0	1	1	2	CD24 molecule 				
CD33	945	c	1	0	1	2	CD33 molecule 				
CD40LG	959	c	0	1	1	2	CD40 ligand 				
CD47	961	c	0	1	1	2	CD47 molecule 				
CD58	965	c	0	1	1	2	CD58 molecule 				
CD72	971	c	0	1	1	2	CD72 molecule 				
CD84	8832	c	0	1	1	2	CD84 molecule 				
CD9	928	c	0	1	1	2	CD9 molecule 				
CD93	22918	c	0	1	1	2	CD93 molecule 				
CD96	10225	c	1	0	1	2	CD96 molecule 				
SELE	6401	c	0	1	1	2	selectin E 				
SELP	6403	c	0	1	1	2	selectin P				
SELPLG	6404	c	0	1	1	2	selectin P ligand 				
TRO	7216	c	0	1	1	2	trophinin 				
DSC1	1823	fa	1	0	1	2	desmocollin 1 				
DSG3	1830	fa	1	0	1	2	desmoglein 3 				
DSG4	147409	fa	1	0	1	2	desmoglein 4 				
LPXN	9404	fa	0	1	1	2	leupaxin 				
PKP1	5317	fa	0	1	1	2	plakophilin 1  				
PKP2	5318	fa	0	1	1	2	plakophilin 2 				
PKP4	8502	fa	0	1	1	2	plakophilin 4 				
BVES	11149	tj	0	1	1	2	blood vessel epicardial substance 				
CLDN1	9076	tj	0	1	1	2	claudin 1 				
CLDN10	9071	tj	0	1	1	2	claudin 10 				
CLDN11	5010	tj	0	1	1	2	claudin 11 				
CLDN12	9069	tj	0	1	1	2	claudin 12 				
CLDN14	23562	tj	0	1	1	2	claudin 14 				
CLDN15	24146	tj	0	1	1	2	claudin 15 				
CLDN16	10686	tj	0	1	1	2	claudin 16 				
CLDN17	26285	tj	0	1	1	2	claudin 17 				
CLDN18	51208	tj	0	1	1	2	claudin 18 				
CLDN19	149461	tj	0	1	1	2	claudin 19 				
CLDN2	9075	tj	0	1	1	2	claudin 2 				
CLDN20	49861	tj	0	1	1	2	claudin 20 				
CLDN22	53842	tj	0	1	1	2	claudin 22 				
CLDN23	137075	tj	0	1	1	2	claudin 23 				
CLDN4	1364	tj	0	1	1	2	claudin 4 				
CLDN5	7122	tj	0	1	1	2	claudin 5 				
CLDN6	9074	tj	0	1	1	2	claudin 6 				
CLDN7	1366	tj	0	1	1	2	claudin 7 				
CLDN8	9073	tj	0	1	1	2	claudin 8 				
CLDN9	9080	tj	0	1	1	2	claudin 9 				
CYTH1	9267	tj	0	1	1	2	cytohesin 1 				
CYTH2	9266	tj	0	1	1	2	cytohesin 2 				
CYTH3	9265	tj	0	1	1	2	cytohesin 3 				
CYTH4	27128	tj	0	1	1	2	cytohesin 4 				
CYTIP	9595	tj	0	1	1	2	cytohesin 1 interacting protein 				
JAM2	58494	tj	0	1	1	2	junctional adhesion molecule 2 				
JUP	3728	tj	0	1	1	2	junction plakoglobin 				
PVRL1	5818	tj	0	1	1	2	poliovirus receptor-related 1 				
ALCAM	214	i	0	0	1	1	activated leukocyte cell adhesion molecule 				
ASTN2	23245	i	1	0	0	1	astrotactin 2				
BAI1	575	i	0	0	1	1	brain-specific angiogenesis inhibitor 1 				
CADM2	253559	i	0	0	1	1	cell adhesion molecule 2 				
CADM4	199731	i	0	0	1	1	cell adhesion molecule 4 				
CD200	4345	i	1	0	0	1	CD200 antigen				
CD48	962	i	1	0	0	1	CD48 antigen				
CD8A	925	i	1	0	0	1	CD8 antigen alpha polypeptide 				
CNTNAP1	8506	i	0	0	1	1	contactin associated protein 1 				
CNTNAP2	26047	i	0	0	1	1	contactin associated protein-like 2 				
CNTNAP3	79937	i	0	0	1	1	contactin associated protein-like 3 				
CNTNAP3B	728577	i	0	0	1	1	contactin associated protein-like 3B 				
CNTNAP4	85445	i	0	0	1	1	contactin associated protein-like 4 				
CNTNAP5	129684	i	0	0	1	1	contactin associated protein-like 5 				
CTNNAL1	8727	i	0	0	1	1	catenin alpha-like 1 				
DAB1	1600	i	0	0	1	1	disabled homolog 1 				
DCC	1630	i	1	0	0	1	deleted in colorectal cancer protein				
EDIL3	10085	i	0	0	1	1	EGF-like repeats and discoidin I-like domains 3 				
ELFN1	392617	i	1	0	0	1	extracellular leucine-rich repeat and fibronectin type III containing 1				
EPCAM	4072	i	0	1	0	1	epithelial glycoprotein-2				
EPHA10	284656	i	1	0	0	1	ephrin type-A receptor 10				
EPHA5	2044	i	1	0	0	1	ephrin type-A receptor 5				
EPHA6	285220	i	1	0	0	1	ephrin receptor EphA6				
EPHB2	2048	i	1	0	0	1	ephrin type-B receptor 2				
EPHB6	2051	i	1	0	0	1	ephrin type-B receptor 6				
GPR116	221395	i	1	0	0	1	G-protein coupled receptor 116				
HEPACAM	220296	i	0	0	1	1	hepatic and glial cell adhesion molecule 				
ICAM2	3384	i	0	0	1	1	intercellular adhesion molecule 2 				
ICAM3	3385	i	0	0	1	1	intercellular adhesion molecule 3 				
ICAM4	3386	i	0	0	1	1	intercellular adhesion molecule 4 				
ICAM5	7087	i	0	0	1	1	intercellular adhesion molecule 5				
ICOS	29851	i	0	0	1	1	inducible T-cell co-stimulator 				
IGSF11	152404	i	0	0	1	1	immunoglobulin superfamily, member 11 				
IGSF5	150084	i	0	0	1	1	immunoglobulin superfamily, member 5 				
IGSF9	57549	i	1	0	0	1	immunoglobulin superfamily member 9A				
IGSF9B	22997	i	1	0	0	1	immunoglobulin superfamily member 9B				
IL1RAP	3556	i	1	0	0	1	IL-1 receptor accessory protein				
KIR2DL1	3802	i	1	0	0	1	killer cell immunoglobulin-like receptor 2DL1				
KIR2DL3	3804	i	1	0	0	1	killer cell immunoglobulin-like receptor 2DL3				
KIR2DL4	3805	i	1	0	0	1	killer cell immunoglobulin-like receptor 2DL4				
KIR2DL5A	57292	i	1	0	0	1	killer cell immunoglobulin-like receptor 2DL5A				
KIR2DL5B	553128	i	1	0	0	1	killer cell immunoglobulin-like receptor 2DL5B				
KIR2DS1	3806	i	1	0	0	1	killer cell immunoglobulin-like receptor 2DS1				
KIR2DS2	100000000	i	1	0	0	1	killer cell immunoglobulin-like receptor 2DS2				
KIR2DS3	3808	i	1	0	0	1	killer cell immunoglobulin-like receptor 2DS3				
KIR2DS4	3809	i	1	0	0	1	killer Ig receptor|killer cell immunoglobulin-like receptor 2DS4				
KIR2DS5	3810	i	1	0	0	1	killer cell immunoglobulin-like receptor 2DS5				
KIR3DL1	3811	i	1	0	0	1	killer cell immunoglobulin-like receptor 3DL1				
LRFN1	57622	i	1	0	0	1	leucine-rich repeat and fibronectin type III domain-containing protein 1				
LRFN2	57497	i	1	0	0	1	leucine-rich repeat and fibronectin type-III domain-containing protein 2				
LRFN4	78999	i	1	0	0	1	leucine-rich repeat and fibronectin type-III domain-containing protein 4				
LRFN5	145581	i	1	0	0	1	leucine-rich repeat and fibronectin type-III domain-containing protein 5				
LRRN1	57633	i	1	0	0	1	leucine-rich repeat neuronal protein 1				
LRRN3	54674	i	1	0	0	1	leucine-rich repeat neuronal protein 3				
LRRN4	164312	i	1	0	0	1	leucine-rich repeat neuronal protein 4				
LRRN4CL	221091	i	1	0	0	1	LRRN4 C-terminal-like protein				
LSAMP	4045	i	0	0	1	1	limbic system-associated membrane protein 				
MADCAM1	8174	i	0	0	1	1	mucosal vascular addressin cell adhesion molecule 1 				
MLLT4	4301	i	0	0	1	1	myeloid lymphoid or mixed-lineage leukemia translocated to 4 				
MPL	4352	i	1	0	0	1	thrombopoietin receptor				
NINJ1	4814	i	0	0	1	1	ninjurin 1 				
NOTCH1	4851	i	0	1	0	1	Notch homolog 1				
NRP1	8829	i	0	0	1	1	neuropilin 1 				
NTM	50863	i	0	0	1	1	neurotrimin 				
PODXL2	50512	i	0	1	0	1	podocalyxin-like protein 2				
PRPH2	5961	i	0	0	1	1	peripherin 2 				
PRTG	283659	i	1	0	0	1	protogenin homolog 				
PTPRB	5787	i	1	0	0	1	receptor-type tyrosine-protein phosphatase beta				
PTPRG	5793	i	1	0	0	1	receptor type protein tyrosine phosphatase gamma				
PTPRH	5794	i	1	0	0	1	receptor-type tyrosine-protein phosphatase H				
PTPRQ	374462	i	1	0	0	1	receptor type protein-tyrosine phosphatase Q				
PTPRZ1	5803	i	1	0	0	1	receptor type protein tyrosine phosphatase zeta 1				
SDC1	6382	i	1	0	0	1	syndecan 1				
SDC2	6383	i	1	0	0	1	syndecan 2				
SDC3	9672	i	1	0	0	1	syndecan 3				
SDC4	6385	i	1	0	0	1	syndecan 4 				
ABI3BP	25890	m	1	0	0	1	ABI gene family member 3-binding protein				
AGER	177	m	1	0	0	1	RAGE isoform NtRAGE-delta				
ANTXR1	84168	m	0	1	0	1	tumor endothelial marker 8				
AXL	558	m	1	0	0	1	tyrosine-protein kinase receptor UFO				
FBLN5	10516	m	0	1	0	1	fibulin 5				
FBLN7	129804	m	0	0	1	1	fibulin 7 				
FREM1	158326	m	1	0	0	1	FRAS1-related extracellular matrix protein 1				
HSPG2	3339	m	1	0	0	1	basement membrane-specific heparan sulfate proteoglycan core protein				
IBSP	3381	m	0	0	1	1	integrin-binding sialoprotein 				
ITGA1	3672	m	1	0	0	1	integrin alpha 1				
LAMA1	284217	m	0	0	1	1	laminin alpha 1 				
LAMA2	3908	m	0	0	1	1	laminin alpha 2 				
LAMA3	3909	m	0	0	1	1	laminin alpha 3 				
LAMA4	3910	m	0	0	1	1	laminin alpha 4 				
LAMB2	3913	m	0	0	1	1	laminin beta 2				
LAMB3	3914	m	0	0	1	1	laminin beta 3 				
LAMB4	22798	m	0	0	1	1	laminin beta 4 				
LAMC2	3918	m	0	0	1	1	laminin gamma 2 				
LAMC3	10319	m	0	0	1	1	laminin gamma 3 				
LYVE1	10894	m	0	1	0	1	lymphatic vessel endothelial hyaluronic acid receptor 1				
MFAP4	4239	m	0	0	1	1	microfibrillar-associated protein 4 				
NCAN	1463	m	0	0	1	1	neurocan 				
RELN	5649	m	0	0	1	1	reelin 				
RPSA	3921	m	0	0	1	1	ribosomal protein SA 				
SGCE	8910	m	0	1	0	1	epsilon-sarcoglycan				
THBS2	7058	m	0	0	1	1	thrombospondin 2 				
THBS3	7059	m	0	1	0	1	thrombospondin-3				
