Entry	Cross-reference (RefSeq)
Q9BUJ0	NP_056222.2;
Q96IU4	NP_001139786.1;NP_001241682.1;NP_116139.1;
O95870	NP_001170986.1;NP_066983.1;
Q9H3Z7	NP_542189.1;
Q8IZP0	NP_001012768.1;NP_001012769.1;NP_001012770.1;NP_001171587.1;NP_001171590.1;NP_001171591.1;NP_001171592.1;NP_001171593.1;NP_001171594.1;NP_001171595.1;NP_001171596.1;NP_005461.2;
Q9NYB9	NP_001269854.1;NP_001269855.1;NP_001269856.1;NP_005750.4;XP_006712248.1;
Q9P2A4	NP_001128658.1;NP_057512.1;
P00519	NP_005148.2;NP_009297.2;
P42684	NP_001129472.1;NP_001129473.1;NP_001161708.1;NP_001161709.1;NP_001161710.1;NP_001161711.1;NP_005149.4;NP_009298.1;XP_005245145.1;
O14639	NP_001003407.1;NP_001003408.1;NP_002304.3;NP_006711.3;XP_005269875.1;XP_005269885.1;
Q6H8Q1	NP_001123555.1;NP_001123556.1;NP_001123557.1;NP_001123558.1;NP_001123559.1;NP_001123560.1;NP_001273617.1;NP_115808.3;
O94929	NP_001287944.1;NP_001287947.1;NP_001287956.1;NP_001287957.1;NP_055760.1;XP_005268449.1;XP_005268452.1;
Q9P1F3	NP_067066.1;
Q8N0Z2	NP_631905.1;
Q12979	NP_001083.2;NP_001153218.1;NP_001243776.1;NP_001269078.1;NP_068781.2;
Q9ULW3	NP_037507.1;
Q969K4	NP_115937.1;NP_742024.1;XP_006713835.1;
Q8N961	NP_665803.2;
Q13085	NP_942131.1;NP_942133.1;NP_942134.1;NP_942135.1;NP_942136.1;
O00763	NP_001084.3;XP_005253933.1;XP_006719428.1;XP_006719430.1;
Q9UKU7	NP_055199.1;
Q9H845	NP_054768.2;
P28330	NP_001599.1;
P11310	NP_000007.1;NP_001120800.1;
P16219	NP_000008.1;NP_001289483.1;
P49748	NP_000009.1;NP_001029031.1;NP_001257376.1;
Q15027	NP_055531.1;
Q15057	NP_036419.3;
Q96P50	NP_085152.2;
O00400	NP_001177921.1;NP_004724.1;
Q8NC06	NP_001129176.1;NP_001129177.1;NP_001129178.1;NP_001129179.1;NP_078998.1;XP_005257734.1;
Q5T8D3	NP_001035938.1;NP_001288180.1;NP_001288181.1;NP_001288182.1;NP_663736.2;
Q9BR61	NP_115736.1;
Q8N6N7	NP_001034933.1;
Q96GR2	NP_001186306.1;NP_055977.3;
Q5FVE4	NP_001276106.1;NP_001276107.1;NP_001276108.1;NP_001276109.1;NP_112186.3;
P07108	NP_001073331.1;NP_001073332.1;NP_001171488.1;NP_001171512.1;NP_001171513.1;NP_001269562.1;NP_001269563.1;NP_001269564.1;NP_065438.1;
Q6JQN1	NP_001130010.1;NP_079523.3;
Q709F0	NP_115545.3;
P45954	NP_001600.1;
Q96AP0	NP_001075955.1;NP_001075956.1;NP_075065.2;
Q9BYF1	NP_068576.1;
Q8TDN7	NP_597999.1;
Q5QJU3	NP_001010887.2;XP_005251505.1;
Q9NUN7	NP_060837.3;
P22303	NP_000656.1;NP_001269378.1;NP_056646.1;XP_006716058.1;
P12821	NP_000780.1;NP_001171528.1;NP_690043.1;
Q9GZZ6	NP_065135.2;
Q15822	NP_000733.2;NP_001269384.1;XP_006716345.1;
P32297	NP_000734.2;NP_001160166.1;
P43681	NP_000735.1;NP_001243502.1;
P30532	NP_000736.2;
Q15825	NP_001186208.1;NP_004189.1;
P36544	NP_000737.1;NP_001177384.1;NP_683709.1;XP_005254807.1;
Q9UGM1	NP_060051.2;
P02708	NP_000070.1;NP_001034612.1;
P17787	NP_000739.1;XP_006711206.1;
Q05901	NP_000740.1;
P30926	NP_000741.1;NP_001243496.1;
P11230	NP_000738.2;
Q07001	NP_000742.1;NP_001243586.1;
Q04844	NP_000071.1;
P07510	NP_005190.4;
Q9UKV3	NP_001158286.1;NP_001158287.1;NP_001158288.1;NP_001158289.1;NP_055792.1;XP_005267475.1;
Q07912	NP_001010938.1;NP_005772.3;
Q16570	NP_001116423.1;NP_002027.2;
O00590	NP_001287.2;
P25106	NP_064707.1;XP_005246154.1;XP_005246155.1;XP_006712703.1;
Q9NPB9	NP_057641.1;NP_848540.1;
Q5JWF8	NP_001019846.1;
O96019	NP_004292.1;NP_817126.1;NP_829888.1;
O94805	NP_057272.1;
Q9Y615	NP_006678.1;
Q9Y614	NP_006677.1;
P53396	NP_001087.2;NP_942127.1;XP_005257452.1;
P11229	NP_000729.2;
P08172	NP_000730.1;NP_001006627.1;NP_001006628.1;NP_001006629.1;NP_001006630.1;NP_001006631.1;NP_001006632.1;NP_001006633.1;
P20309	NP_000731.1;XP_005273089.1;XP_005273090.1;XP_005273091.1;XP_006711795.1;
P08173	NP_000732.2;
P08912	NP_036257.1;XP_005254198.1;
Q8TDX5	NP_612199.2;XP_005263644.1;XP_005263645.1;
Q8WXI4	NP_056362.1;NP_671517.1;
Q8WYK0	NP_570123.1;
Q9NPJ3	NP_001153566.1;NP_060943.1;
Q8N1Q8	NP_872384.1;XP_005245152.1;
P21399	NP_001265281.1;NP_002188.1;XP_005251533.1;
O00767	NP_005054.3;
Q99798	NP_001089.1;
Q86TX2	NP_001032238.1;
P49753	NP_006812.3;
Q8N9L9	NP_689544.3;
Q3I5F7	NP_001032239.1;
O14734	NP_005460.2;
Q9Y305	NP_001028755.2;NP_001032248.1;XP_005274528.1;XP_005274529.1;
Q15067	NP_001171968.1;NP_004026.2;NP_009223.2;
Q99424	NP_003491.1;XP_005265562.1;
O15254	NP_001095137.1;NP_003492.2;XP_005248068.1;XP_005248070.1;
Q9NUZ1	NP_001136279.1;
P13798	NP_001631.3;
O14561	NP_004994.1;
Q8NEB7	NP_115878.2;
Q96QF7	NP_443189.1;XP_006724779.1;
P10323	NP_001088.2;
Q08AH3	NP_001010845.1;XP_005255150.1;
Q68CK6	NP_001098539.1;NP_872423.3;
Q9NUB1	NP_001239604.1;NP_001239605.1;NP_001239606.1;NP_115890.2;
Q9NR19	NP_001070020.2;NP_061147.1;
Q96CM8	NP_001275897.1;NP_001275898.1;NP_001275899.1;NP_001275900.1;NP_001275901.1;NP_079425.3;
Q4G176	NP_001120686.1;NP_001230208.1;NP_777577.2;
Q4L235	NP_001273597.1;NP_001273598.1;NP_001273599.1;NP_001273600.1;NP_001273601.1;NP_861522.2;XP_005265778.1;
P33121	NP_001273637.1;NP_001273639.1;NP_001273640.1;NP_001273641.1;NP_001986.2;XP_005262885.1;XP_005262886.1;XP_005262888.1;
O95573	NP_004448.2;NP_976251.1;
O60488	NP_004449.1;NP_075266.1;XP_005262165.1;XP_005262166.1;XP_005262167.1;XP_006724698.1;
Q9ULC5	NP_057318.2;NP_976313.1;NP_976314.1;
Q9UKU0	NP_001009185.1;NP_001192176.1;NP_001192177.1;NP_001192179.1;NP_001192180.1;NP_056071.2;XP_006714642.1;XP_006714643.1;
Q08AH1	NP_443188.2;XP_005255141.1;
Q53FZ2	NP_005613.2;NP_973729.1;
P0C7M7	NP_001073923.1;
Q6NUN0	NP_060358.2;
Q6P461	NP_997204.2;
Q9H6R3	NP_078836.1;
P62736	NP_001135417.1;NP_001604.1;
Q562R1	NP_001017992.1;
Q9BYX7	
P60709	NP_001092.1;
P68032	NP_005150.1;
P63261	NP_001186883.1;NP_001605.1;
Q01718	NP_000520.1;NP_001278840.1;
P63267	NP_001186822.1;NP_001606.1;
Q9H568	NP_110439.2;
Q8TC94	NP_848620.3;
P12814	NP_001093.1;NP_001123476.1;NP_001123477.1;
P35609	NP_001094.1;NP_001265272.1;NP_001265273.1;
Q08043	NP_001095.2;NP_001245300.2;
O43707	NP_004915.2;
P68133	NP_001091.1;
Q8TDG2	NP_612146.1;
Q8TDY3	NP_536356.3;
Q9BYD9	NP_115876.3;
P42025	NP_005726.1;
P61163	NP_005727.1;
P36896	NP_004293.1;NP_064732.3;NP_064733.3;
Q8NER5	NP_001104501.1;NP_001104502.1;NP_001104503.1;NP_660302.2;
P37023	NP_000011.2;NP_001070869.1;XP_005269292.1;
Q04771	NP_001096.1;NP_001104537.1;XP_005246996.1;XP_005246997.1;XP_006712888.1;
Q03154	NP_000657.1;NP_001185824.1;NP_001185825.1;NP_001185826.1;NP_001185827.1;
P45381	NP_000040.1;NP_001121557.1;XP_006721590.1;
Q96HD9	NP_542389.1;
P07311	NP_001098.1;NP_001289545.1;
P14621	NP_612457.1;
O14672	NP_001101.1;
O75078	NP_002381.2;
O43184	NP_001275903.1;NP_001275904.1;NP_003465.3;NP_067673.2;
Q13444	NP_001248393.1;NP_001248394.1;NP_001248395.1;NP_003806.3;NP_997074.1;NP_997077.1;NP_997078.1;NP_997079.1;NP_997080.1;
P78536	NP_003174.3;
Q9Y3Q7	NP_001177885.1;NP_055052.1;
Q9H013	NP_150377.1;XP_005266060.1;
P35348	NP_000671.2;NP_150645.2;NP_150646.3;NP_150647.2;XP_005273471.1;XP_006716356.1;
P35368	NP_000670.1;
P25100	NP_000669.1;
O43506	NP_003805.3;XP_005268208.1;XP_005268209.1;
Q9UKJ8	NP_003804.2;
Q9P0K1	NP_004185.1;NP_068367.1;NP_068368.2;NP_068369.1;
O75077	NP_003803.1;XP_005246989.1;
Q9UKQ2	NP_055080.2;NP_068547.2;
Q9UKF5	NP_001124175.1;NP_001124176.1;NP_001124177.1;NP_001265054.1;NP_001265055.1;NP_001265056.1;NP_055084.3;XP_005262761.1;XP_005262762.1;
P08913	NP_000672.3;
P18089	NP_000673.2;
P18825	NP_000674.2;
Q9UKF2	NP_068566.2;
Q8TC27	NP_659441.3;
Q9BZ11	NP_001269376.1;NP_079496.1;NP_694882.1;
Q96M93	NP_001152757.1;NP_001152767.1;NP_640336.1;XP_005262798.1;XP_005262799.1;XP_005262800.1;XP_005262801.1;
Q8NCV1	NP_001138872.1;NP_631913.3;
Q6DHV7	NP_001012987.1;NP_001152752.1;XP_005254261.1;
Q99965	NP_001265042.1;NP_001265043.1;NP_001455.3;
Q6NVV9	
Q9H2U9	NP_003808.2;
P78325	NP_001100.3;NP_001157961.1;NP_001157962.1;
Q13443	NP_003807.1;
O75689	NP_001271237.1;NP_001271238.1;NP_001271239.1;NP_001271240.1;NP_006860.1;
Q9NPF8	NP_060874.1;
A8MUL3	
O00116	NP_003650.1;
Q9BUB4	NP_036223.2;
Q7Z6V5	NP_001273188.1;NP_872309.2;
Q96EY9	NP_612431.2;
P00813	NP_000013.2;
Q86TW2	NP_001136017.1;NP_065154.2;
Q7Z695	NP_443085.2;
Q8NI60	NP_064632.2;XP_005273258.1;XP_005273259.1;XP_005273260.1;
Q96D53	NP_001136027.1;NP_079152.3;XP_005259328.1;XP_005259329.1;XP_005259330.1;XP_005259331.1;XP_006723455.1;XP_006723456.1;XP_006723457.1;
Q3MIX3	NP_777582.4;
Q6P093	NP_997248.2;
Q5VUY0	NP_001096640.2;
Q5VUY2	NP_001013652.1;
Q08828	NP_066939.1;
Q08462	NP_065433.2;
O60266	NP_004027.2;XP_005264162.1;
Q8NFM4	NP_001185497.1;NP_001185521.1;NP_640340.2;
O95622	NP_001186571.1;NP_899200.1;
O43306	NP_056085.1;NP_066193.1;XP_005268662.1;XP_006719273.1;
P51828	NP_001105.1;XP_005255836.1;XP_005255837.1;XP_005255838.1;XP_005255839.1;XP_005255840.1;XP_005255841.1;
P40145	NP_001106.1;
O60503	NP_001107.2;
Q96PN6	NP_001161221.1;NP_001284701.1;NP_060887.2;
P35611	NP_001110.2;NP_001273574.1;NP_054908.2;NP_054909.2;NP_789771.1;XP_005247994.1;
P35612	NP_001171983.1;NP_001171984.1;NP_001608.1;NP_059516.2;NP_059522.1;
Q9UEY8	NP_001112.2;NP_058432.1;NP_063968.1;XP_005269586.1;XP_005269587.1;XP_005269588.1;XP_005269590.1;XP_005269591.1;XP_006717689.1;XP_006717690.1;XP_006717691.1;
O15204	NP_001138743.1;NP_001138744.1;NP_055294.1;
Q8N7X0	NP_078970.3;
P07327	NP_000658.1;
P00325	NP_000659.2;NP_001273579.1;
P00326	NP_000660.1;
P08319	NP_000661.2;
P28332	NP_000663.1;NP_001095940.1;
P40394	NP_000664.2;NP_001159976.1;
P11766	NP_000662.3;
Q0VDE8	NP_001018092.1;
Q5T7M4	NP_001014980.1;
Q15848	NP_001171271.1;NP_004788.1;
Q9Y2D8	NP_001159765.1;NP_001159766.1;NP_001159767.1;NP_001159889.1;NP_054740.3;XP_005270484.1;XP_005270485.1;XP_006710394.1;
Q15847	NP_006820.1;
P55263	NP_001114.2;NP_001189378.1;NP_001189379.1;NP_006712.2;
Q7Z4H4	NP_001240774.1;NP_079142.2;
C9JUS6	NP_001094810.1;
P35318	NP_001115.1;
Q6IQ32	NP_055728.1;XP_005266713.1;
Q9H2P0	NP_001269460.1;NP_001269461.1;NP_056154.1;NP_852107.1;
Q9BRR6	NP_112574.3;XP_006720775.1;XP_006720778.1;
Q9NRN7	NP_056238.2;
P54922	NP_001116.1;NP_001278878.1;NP_001278879.1;
Q3LIE5	NP_064618.3;
Q96A54	NP_001277482.1;NP_001277486.1;NP_001277558.1;NP_057083.2;
Q86V24	NP_078827.2;XP_005253846.1;XP_006719081.1;
P08588	NP_000675.1;
P07550	NP_000015.1;
P13945	NP_000016.1;
Q16186	NP_001268366.1;NP_001268367.1;NP_008933.2;NP_783163.1;XP_005260314.1;
P22570	NP_001244941.1;NP_001244942.1;NP_001244943.1;NP_001244944.1;NP_001244945.1;NP_004101.2;NP_077728.2;
Q9Y6U3	NP_001106177.1;NP_149119.1;
P12235	NP_001142.2;
P05141	NP_001143.2;
P12236	NP_001627.2;
Q9H0C2	NP_112581.1;
Q96IZ2	NP_001137420.1;NP_116133.1;XP_005249511.1;
Q6P4F2	NP_001026904.2;
P10109	NP_004100.1;
Q8IUX7	NP_001120.3;
Q6ZN18	NP_001107648.1;NP_001253972.1;NP_694939.2;
Q96SZ5	NP_116193.2;
Q6UXC1	NP_996803.2;
Q8WTP8	NP_073604.3;XP_005255023.1;XP_005255024.1;
Q08117	NP_001121.2;NP_945320.1;NP_945321.1;
P55197	NP_001182555.1;NP_001182556.1;NP_001182557.1;NP_001182559.1;NP_004632.1;XP_005252665.1;
P55198	NP_005928.2;
Q8TED9	NP_001139809.1;NP_689619.1;
Q8N4X5	NP_001001936.1;NP_001274753.1;NP_115939.1;
Q13015	NP_006809.1;
P42568	NP_001273620.1;NP_004520.2;
P55196	NP_001035089.1;NP_001193937.1;NP_001278893.1;XP_005267053.1;
P43652	NP_001124.1;
Q8N556	NP_001128119.1;NP_940997.1;
P51825	NP_001160165.1;NP_005926.1;XP_005263064.1;XP_005263065.1;
P51816	NP_001162593.1;NP_001162594.1;NP_001162595.1;NP_001162596.1;NP_001164099.1;NP_002016.2;
P51826	NP_001020279.1;NP_002276.2;XP_005264000.2;
Q9UHB7	NP_055238.1;XP_005272020.1;
Q9Y4W6	NP_006787.2;
Q6ULP2	NP_001002243.1;NP_060127.3;NP_982261.2;XP_005264437.1;
Q5BKT4	NP_116223.3;
Q5I7T1	NP_001013642.1;
C9J202	NP_001129624.1;
Q5T2P9	
Q8TF27	NP_597704.1;
P06280	NP_000160.1;
Q9UPQ3	NP_001032208.1;NP_001231817.1;NP_055729.2;
Q99490	NP_001116244.1;NP_055585.1;
Q96P47	NP_001036000.1;NP_001268229.1;NP_114152.3;
Q96P64	NP_001263272.2;NP_597703.2;
A6NIR3	NP_001137472.1;
Q5VW22	NP_001071133.2;XP_006717917.1;XP_006717918.1;
Q5VUJ5	NP_001071153.1;
Q5SRD3	
Q5VTM2	NP_001177739.1;
P52594	NP_001128659.1;NP_001128660.1;NP_001128661.1;NP_004495.2;
O95081	NP_006067.3;
Q8N302	NP_060516.2;
Q9H0P7	
Q53H12	NP_060708.1;XP_005250078.1;
O95394	NP_001186846.1;NP_001186848.1;NP_056414.1;XP_006715567.1;
Q9UL18	NP_036331.1;
Q9UKV8	NP_001158095.1;NP_036286.2;
Q9H9G7	NP_079128.2;NP_803171.1;XP_005270632.1;XP_006710467.1;
Q9HCK5	NP_060099.2;
O95994	NP_006399.1;XP_005249638.1;
Q8TD06	NP_789783.1;XP_005249684.1;
O00468	NP_940978.2;XP_005244806.1;XP_006710696.1;
O00253	NP_001129.1;
Q9BYV1	NP_114106.1;
P30556	NP_000676.1;NP_004826.5;NP_033611.1;
P50052	NP_000677.2;
Q5TGY3	NP_001025053.1;XP_005245905.1;XP_005245906.1;XP_005245907.1;XP_005245908.1;XP_005245909.1;XP_005245910.1;
Q8N157	NP_001128302.1;NP_001128303.1;NP_001128304.1;NP_060121.3;
Q8IVF2	NP_612429.2;XP_005267356.1;
Q09666	NP_001611.1;NP_076965.2;XP_005274297.1;XP_005274298.1;
A9YTQ3	NP_001229341.1;NP_065782.2;
P35869	NP_001612.1;
O95433	NP_036243.1;
