INTERACTOR1	INTERACTION_TYPE	INTERACTOR2	PMID
TIPIN	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;INHIBITION	ORC1*	10882098;11438669;11571269;11877377;11900249;12185086;12535671;12648680;12766152;12875843;12909626;12930902;12947387;12972610;14676842;14726013;15189466;15279786;15459660;15474417;15703371;15798197;16697054;16731533;16880517;16934469;17102137;17116885;17141802;17296725;17303408;17384638;17386261;17582221;17608804;17652783;17660363;17884153;17887956;18048416;18082604;18082605;18087292;18196958;18550849;18584027;18590585;18677104;18756267;18809224;18931676;19075014;19217432;19258535;19264559;19282663;19473888;19490890;19595721;19596235;19596236;19622404;19667075;19686080;19772495;19793801;19793861;19793862;19809470;19841479;19847258;20019063;20029420;20081207;20173781;20211143;20227374;20478261;20723763;20832754;21060331;21282463;21337561;21376743;21406556;21527023;21948210;22101340;22257761;22266823;22373527;22505525;22615860;22657828;22743550;22751496;22824526;23085398;23253856;23444773;24050180;24089143;24095737;7533895;7575488;8020957;8264637;8978692
CDC42_GAPs*	UNKNOWN_TRANSITION	RALBP1	N/A
RPTOR	CATALYSIS	S6K*	12087098;9465032
RPA1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	SMARCAL1	11900249;12648680;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18677104;19793801;19793861;19793862;19809470;19841479;19847258
FANCI	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RAD51	11850621;11877377;11927554;12239151;12551922;12607003;14726013;15459660;15703371;16697054;17303408;18082604;18082605;18085520;18087292;18584027;18809224;18931676;19075014;19217432;19264559;19622404;19686080;19772495;19793801;19847258;20029420;20723763;21060331;21337561;21376743;21574959;22101340;22743550;22751496;23444773;24050180;9488723
E2F3_alone	NEGATIVE_INFLUENCE	CDC25A	15210709
PP2A_B*	CATALYSIS	GSK3*	10026142;10995457;16680151;18042541;18559511;19131971
FOXO3	CATALYSIS	BCL2L11	10783894;11094066;11154281;11994454;15509806;16288288;17646672;18644865;20673124
MYC	CATALYSIS	Caspase8*	12389032;15240700
MAP2K7	CATALYSIS	JNK*	11274345;12624093;12738796;18855897;21614932
CDC45	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	ORC1*	10882098;11900249;12185086;12648680;12909626;15279786;15459660;15703371;16697054;17102137;17116885;17296725;17303408;17582221;17608804;17660363;17884153;17887956;18590585;18677104;19793801;19809470;19847258;21406556;21527023;7575488
ATF2	CATALYSIS	KSR1	11274345;12738796;17439715;18039929;20506250;8545107
MMP2*	CATALYSIS	LTBP1	21900405
HIF1B*	PHYSICAL_STIMULATION	EG-VEGF*	10403805;11528470;11566883;12080085;12829734;13130303;15451019;16887934;1823643;7539918;8943284;9159130;9278421;9746763
DYRK*	CATALYSIS	SUFU	12063245;18455992;19685005;21709260;21965663;9932450
PPP3R*	CATALYSIS	MEF2*	11796223;14627704;14741051;15036616;16648474;17593948;17662023
RRM1	CATALYSIS	TXN	N/A
EME1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MSH3	12947387;15703371;16612326;16697054;18157157;18406444;18469862;19473888;19595721;19596235;19596236;19686080;19772495;19847258;20478261;20655466;22101340
AP2_mu_*	PHYSICAL_STIMULATION	CK1_epsilon_*	18953287;19910923;20947020;21397842
DYN1*	PHYSICAL_STIMULATION	IFT140	20889716
MSH2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	EME1	12947387;15703371;16612326;16697054;18157157;18406444;18469862;19473888;19595721;19596235;19596236;19686080;19772495;19847258;20478261;20655466;22101340
JUN	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	TCF4	11274345;11929833;15576399;15766563;15768032;15806138;16007074;16039586;16169192;16510874;17050667;17143292;17291450;17439715;18347071;18627596;19619488;19623618;20006983;20122174;20530697;20920541;21285352;21767405;22290435;22699938;22705350;22761862;23306204;23343194;8545107
Caspase9*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	Cytochrome_C*	10329646;12773388;12792650;15210107;16977332;19788417
RAD17	INHIBITION	ORC6*	14726013;15459660;15703371;16697054;16885023;17102137;17116885;17296725;17303408;17493829;17582221;19793801;19847258;20478261;8943031;9524127
FOXO*	INHIBITION	BCL2L11	11050388;11301023;11495903;14684737;17604722;18281283;19494111
PP2A_A*	CATALYSIS	GSK3*	10026142;10995457;16680151;18042541;18559511;19131971
TNF	CATALYSIS	TRADD	N/A
BAF250*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BRG1*	17666529;21358755;22290435;22761862
BLM	CATALYSIS	PCNA	16697054;18931676;19622404;19686080;19772495;19847258;22266823;22657828;22973052;23253856;24089143;24095737
SNAI2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PHYSICAL_STIMULATION	HDAC2	14673164;17018611;17508028;17550342;21685935;22370643;22514743;22796940
SNAI1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	HDAC2	14673164;17018611;21685935;22514743;22796940
APC6*	TRIGGER	SMC1*	15279786;17303408;17660363;18590585;7575488
CK2_alpha_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CK2_beta_*	10023660;10671551;10747897;10837139;11689703;11972058;12820959;15071497;15340381;15367661;15688063;16039586;16707567;17143292;17374729;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21285348;21411632;21506126;22682247;22730322;23343194;7641885
_beta_-Catenin*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RBX1	10023660;12820959;14536078;15071497;15147722;15340381;15489953;15688063;16039586;16371461;16611981;16651270;17053147;17143292;18636226;18787170;18813803;19143635;19352404;19366350;19576224;19597341;19619488;19797085;19849719;20006983;20558317;20832730;20843316;20976471;21411632;22682247;22730322;23343194;7641885
CDC45	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	ORC2*	10882098;11900249;12185086;12648680;12909626;15279786;15459660;15703371;16697054;17102137;17116885;17296725;17303408;17582221;17608804;17660363;17884153;17887956;18590585;18677104;19793801;19809470;19847258;21406556;21527023;7575488
BIRC5	CATALYSIS	BUBR1*	12925766;14767480;15249581;16571674;17956729
UQCRC11	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	UQCRC1	N/A
ROCK*	CATALYSIS	LIMK1	10461188;10559936;10613909;11018042;11340065;11413130;11950587;12778124;17522712;22154077
TNF	CATALYSIS	TRAF2	N/A
CK1_alpha_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	PR65_A*	10995457;16039586;16680151;17143292;18039929;18042541;18588945;19366350;19556239;19619488;20006983;23343194;7641885
Plasmin*	CATALYSIS	MMP13*	N/A
RPA1	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;TRIGGER	RAD9*	10884395;11438669;11877377;11900249;12648680;12766152;12930902;14676842;14726013;15189466;15459660;15474417;15703371;15798197;16530042;16697054;16880517;16885023;16934469;17102137;17116885;17296725;17303408;17384638;17493829;17582221;17652783;17884153;18048416;18087292;18196958;18584027;18677104;18756267;18809224;19258535;19282663;19490890;19622404;19772495;19793801;19809470;19847258;20019063;20211143;20227374;20478261;21282463;21376743;22743550;24050180;8264637;8943031;8978692;9524127
APC	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	PRR*	11226259;14704854;14747478;15265686;15618519;16443747;17127310;17143292;17430994;17884187;18077588;18497258;19020754;19029934;19072724;19366350;19565474;19853559;20006983;20229235;20460648;20843316;21087212;21606194;21640127;22007144;22017973;22433869;52226983;7641885;8655584
RPA3	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;TRIGGER	RAD9*	10884395;11438669;11877377;11900249;12648680;12766152;12930902;14676842;14726013;15189466;15459660;15474417;15703371;15798197;16530042;16697054;16880517;16885023;16934469;17102137;17116885;17296725;17303408;17384638;17493829;17582221;17652783;17884153;18048416;18087292;18196958;18584027;18677104;18756267;18809224;19258535;19282663;19490890;19622404;19772495;19793801;19809470;19847258;20019063;20211143;20227374;20478261;21282463;21376743;22743550;24050180;8264637;8943031;8978692;9524127
MIR20A	INHIBITION	E2F1	15944709
RPA2	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;TRIGGER	RAD9*	10884395;11438669;11877377;11900249;12648680;12766152;12930902;14676842;14726013;15189466;15459660;15474417;15703371;15798197;16530042;16697054;16880517;16885023;16934469;17102137;17116885;17296725;17303408;17384638;17493829;17582221;17652783;17884153;18048416;18087292;18196958;18584027;18677104;18756267;18809224;19258535;19282663;19490890;19622404;19772495;19793801;19809470;19847258;20019063;20211143;20227374;20478261;21282463;21376743;22743550;24050180;8264637;8943031;8978692;9524127
CBL*	CATALYSIS	p110*	10514377;17635922
RhoB_GDIs*	INHIBITION	RHOB	11368848;12221096;16112081;16917499;8939998;9822605;9857026
H2AFZ	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MRGBP	17320397
RAD1	INHIBITION	ORC3*	14726013;15459660;15703371;16697054;16885023;17102137;17116885;17296725;17303408;17493829;17582221;19793801;19847258;20478261;8943031;9524127
EIF4E*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	M7GTP*	11108711;12150925;12408816;12709531;12844354;12867079;15314020;15755954;15905173;16286006;16679021;17368478;17680028;18391071;19339977;19568798;19597330;19864431;20647036;21157483;21177869;21233202
RBX1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CUL4A	N/A
G_gamma_*	CATALYSIS;COMPLEX_EXPANSION;DISSOCIATION;HETERODIMER_ASSOCIATION;KNOWN_TRANSITION_OMITTED	CK1_alpha_*	10023660;10581160;10995457;11226259;11274345;11448771;11955436;12000790;12050670;12533515;12820959;12839624;14704854;14747478;15071497;15265686;15340381;15618519;15688063;16039586;16263762;16443747;16547521;16604063;16680151;16965538;17030191;17127310;17143292;17244647;17318175;17426148;17430994;17569865;17884187;17910481;17986005;18000759;18039929;18042541;18077588;18497258;18588945;18606138;18851840;18953287;19020754;19029934;19056682;19072724;19151919;19352404;19366350;19379695;19556239;19561074;19565474;19576224;19581931;19597341;19619488;19705439;19718039;19849719;19853559;19910923;20006983;20059949;20093472;20215527;20229235;20399103;20457807;20460648;20558317;20579883;20627573;20843316;20930545;20940130;20947020;20976471;210606194;21078818;21087212;21285348;21304492;21316585;21380625;21397842;21411632;21498506;21602792;21606194;21640127;21727895;21796133;21829496;21909076;22007144;22017973;22433869;22682247;22730322;23022962;23277359;23343194;52226983;7641885;8655584
E2F1_alone	POSITIVE_INFLUENCE	Caspase7*	12389032
ORC4*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MCM5	10882098;11900249;12185086;12648680;12909626;15279786;15459660;15703371;16697054;17102137;17116885;17296725;17303408;17582221;17608804;17660363;17884153;17887956;18590585;18677104;19793801;19809470;19847258;21406556;21527023;7575488
APC2*	TRIGGER	SMC1*	15279786;17303408;17660363;18590585;7575488
SKP1	CATALYSIS	WEE1	11900249;12648680;15459660;15703371;16697054;17884153;18931676;19270156;19622404;19686080;19809470;19847258
E2F1	CATALYSIS	BBC3	11463391;11463392;14634023;14684737
MMP9*	CATALYSIS	LTBP1	21900405
RPA1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;INHIBITION	ORC2*	10882098;11877377;11900249;12185086;12648680;12766152;12875843;12909626;15279786;15459660;15703371;15798197;16697054;16880517;16934469;17102137;17116885;17141802;17296725;17303408;17384638;17582221;17608804;17660363;17884153;17887956;18590585;18677104;19282663;19622404;19793801;19809470;19847258;21406556;21527023;7575488
BCL9	CATALYSIS	CyclinD*	15576399;16039586;17143292;17306568;17666529;19619488;19623618;21151179;21285352;22290435;22761862;23343194
RPA3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;INHIBITION	ORC2*	10882098;11877377;11900249;12185086;12648680;12766152;12875843;12909626;15279786;15459660;15703371;15798197;16697054;16880517;16934469;17102137;17116885;17141802;17296725;17303408;17384638;17582221;17608804;17660363;17884153;17887956;18590585;18677104;19282663;19622404;19793801;19809470;19847258;21406556;21527023;7575488
AKT1	CATALYSIS	p53*	15140942;15574337
RPA2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;INHIBITION	ORC2*	10882098;11877377;11900249;12185086;12648680;12766152;12875843;12909626;15279786;15459660;15703371;15798197;16697054;16880517;16934469;17102137;17116885;17141802;17296725;17303408;17384638;17582221;17608804;17660363;17884153;17887956;18590585;18677104;19282663;19622404;19793801;19809470;19847258;21406556;21527023;7575488
CyclinD1*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CDK4	10331086;19238148;22943793;9832503
G_gamma_*	CATALYSIS	RBX1	14704854;14747478;15265686;16443747;16547521;16965538;17127310;17143292;17430994;17884187;19020754;19029934;19072724;19705439;19718039;20006983;20093472;20940130;210606194;21087212;21602792;21606194;21640127;21796133;22007144;22017973;22433869;7641885;8655584
E2F1_alone	POSITIVE_INFLUENCE	ZNF451	12909625
TCEB2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	TCEB3	N/A
SYN4*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CTHRC1	11226259;11274345;11779461;12533515;12839624;12941693;14704854;14747478;15265686;15375164;15388793;15618519;16263762;16604063;17030191;17127310;17244647;17430994;17884187;17986005;18000759;18256687;18497258;18606138;18851840;18953287;19020754;19151919;19366350;19379695;19565474;19853559;19910923;20006983;20093472;20215527;20351293;20457807;20579883;20930545;20947020;21069266;21078818;21087212;21316585;21380625;21397842;21640127;21796133;22017973;22037766;7641885;8655584
PARP1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	PARP2	11850621;11877377;12607003;14726013;15459660;15703371;16697054;17088286;17965729;18087292;18171670;18171986;18584027;18809224;18835851;19202191;19208614;19364882;196269035;19772495;19793801;19847258;20021983;20029420;20603072;20723763;21060331;21270334;21337561;21376743;22055391;22469522;22713970;22743550;22921416;23145148;23562323;23568489;24050180;24210699;9721205
PARP1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	PARP3	14726013;15703371;16697054;17088286;18077224;19208614;19364882;196269035;19847258;20603072;21211721;21270334;21376743;22055391;22469522;22713970;22743550;22921416;23145148;23178593;23562323;23568489;24050180;24210699
BIRC6	CATALYSIS	DIABLO	15300255
STAT5*	CATALYSIS	BCL2-XL*	10428030;10428780;10435632;11756417;19211554
ITCH	CATALYSIS	p73*	10940313;11318614;16861923;18628966;21107885;21383157
MIR222	INHIBITION	PTEN	14697198;17681183;18199536;19962668
GINS3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	GINS4	16531994;17417653;17652513;19223333
MIR34C	HETERODIMER_ASSOCIATION	WNT3	22045851
MRGBP	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BRD8	17320397
KPC2*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	KPC1*	15531880
MIR34C	HETERODIMER_ASSOCIATION	WNT1	22045851
ORC5*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MCM5	10882098;11900249;12185086;12648680;12909626;15279786;15459660;15703371;16697054;17102137;17116885;17296725;17303408;17582221;17608804;17660363;17884153;17887956;18590585;18677104;19793801;19809470;19847258;21406556;21527023;7575488
CUL1	CATALYSIS	EMI1*	11900249;12648680;15459660;15703371;16697054;17884153;18931676;19270156;19622404;19686080;19809470;19847258
SP1	PHYSICAL_STIMULATION	p15INK4B*	10454538;11013220;11074002;11283613;11283614;9389648;9670020
DVL*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	p300*	11274345;11929833;12711682;15327769;15576399;15768032;15806138;15834423;16007074;16039586;16169192;16510874;16547505;17050667;17143292;17291450;17439715;18347071;18627596;19619488;19623618;20006983;20122174;20530697;20920541;21285352;21767405;22290435;22705350;22761862;23306204;23343194;8545107
PPARGC1A	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	NRF1	18046414;18048642
TGFBR1	CATALYSIS	MAP2K6	11274345;12738796;18855897;20060931;21614932
p107*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	E2F4_5*	15279786;17303408;17660363;18590585;7575488
WNT1_3*	POSITIVE_INFLUENCE	TAK1*	14960582
TGFBR2	CATALYSIS	MAP2K6	11274345;12738796;18855897;20060931;21614932
XRCC2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	DSS1*	10858305;10931916;11571269;11877377;12947387;15220350;15459660;15590677;15650050;16697054;18660752;18931676;19473888;19525936;19622404;19686080;19759212;19772495;19793801;19847258;20029420;20081207;20376879;20723763;20813759;21060331;21337561;22505525;22751496;23444773
XRCC3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	DSS1*	10858305;10931916;11571269;11877377;12947387;15220350;15459660;15590677;15650050;16697054;18660752;18931676;19473888;19525936;19622404;19686080;19759212;19772495;19793801;19847258;20029420;20081207;20376879;20723763;20813759;21060331;21337561;22505525;22751496;23444773
TAB2	CATALYSIS;HETERODIMER_ASSOCIATION	WNT3	11274345;18762249;18855897;19136967
Claudin3*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	Claudin5*	N/A
_beta_-Catenin*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	AXIN*	10023660;10995457;11955436;12000790;12820959;15071497;15340381;15688063;16039586;16680151;17143292;17910481;18039929;18042541;18588945;19352404;19366350;19556239;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
HIPK2	CATALYSIS	HDAC1_2*	14567915;15082531;15526030;15708980;17666529;18974774;20307497;21118996;21285352;22236966
PP2_C*	CATALYSIS	MYC	10026142;10995457;16680151;18042541;18559511;19131971
EGF family*	HETERODIMER_ASSOCIATION	GRB2	17673906
DYRK*	CATALYSIS	GLI2-185*	12063245;18455992;19685005;21709260;21965663;9932450
TRRAP	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	EPC1	17320397
G_beta_*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;KNOWN_TRANSITION_OMITTED	LRP5_6*	11226259;11448771;12050670;14704854;14747478;15265686;15618519;16443747;16547521;16965538;17127310;17143292;17426148;17430994;17569865;17884187;18077588;18497258;19020754;19029934;19056682;19072724;19366350;19561074;19565474;19581931;19705439;19718039;19853559;20006983;20059949;20093472;20229235;20460648;20627573;20843316;20940130;210606194;21087212;21285348;21304492;21498506;21602792;21606194;21640127;21727895;21796133;21829496;21909076;22007144;22017973;22433869;23022962;52226983;7641885;8655584;N/A
UCRC*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	UQCRFS1	N/A
ORC2*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MCM5	10882098;11900249;12185086;12648680;12909626;15279786;15459660;15703371;16697054;17102137;17116885;17296725;17303408;17582221;17608804;17660363;17884153;17887956;18590585;18677104;19793801;19809470;19847258;21406556;21527023;7575488
CyclinY*	CATALYSIS	CK1_alpha_*	18077588;20059949;20229235;20627573
NDUFS3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NDUFV3	N/A
NDUFS3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NDUFV1	N/A
active~Caspases*	CATALYSIS	PIK3C3	N/A
NDUFS3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NDUFV2	N/A
CAMKK2	CATALYSIS	PRKAA*	15509864;15980064;16054095;16054096;17244528;18692468;19197243
Plasmin*	CATALYSIS	MMP1	N/A
MTOR	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FKBP8	17991864
cleaved~Caspase3*	CATALYSIS	NDUFA5	15186778
TNFRSF1A	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RIPK1	11274345;12655147;12738796;18855897;21614932
PDGF family*	CATALYSIS	STAT5*	17496910
RTK*	UNKNOWN_TRANSITION	KIT	N/A
CKS1B	CATALYSIS	p27KIP1*	11516665;12820959;15071497;15147722;15340381;15688063
STRADA	CATALYSIS	PKA_R*	15509864;19197243;20160076;8910387
HTRA2	CATALYSIS	RIPK1	10521396;19935698;20125124
E1*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NEDD8	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
E2F3_alone	POSITIVE_INFLUENCE	PPP1R13B	15731768
v-SRC*	CATALYSIS	_beta_-Catenin*	10593980;12123611;15782139;16492141;9278444;9592087
APC8*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BUBR1*	10477750;11402067;11535616;12640463;15024386;15279786;15592459;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;7575488;8824189;9790499
LRP5_6*	CATALYSIS	KLHL*	14704854;14747478;15265686;16443747;16547521;16965538;17127310;17143292;17430994;17884187;19020754;19029934;19072724;19705439;19718039;20006983;20093472;20940130;210606194;21087212;21602792;21606194;21640127;21796133;22007144;22017973;22433869;7641885;8655584
NFKB1	CATALYSIS	MYC	18490439;19219071;2191300
ORC3*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MCM5	10882098;11900249;12185086;12648680;12909626;15279786;15459660;15703371;16697054;17102137;17116885;17296725;17303408;17582221;17608804;17660363;17884153;17887956;18590585;18677104;19793801;19809470;19847258;21406556;21527023;7575488
cleaved~Caspase3*	CATALYSIS	NDUFAB1	15186778
BCL2L11	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	DYNLL1	N/A
EMI1*	INHIBITION	APC2*	15279786;17303408;17660363;18590585;7575488
NEDD8	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CK2_beta_*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
MMP1	CATALYSIS	G_gamma_*	14652070;15707890
