"Resource Name","Categories","License Name","License Full Name","License URL","Maintenance","Records","Articles","Webpages","PubMeds","Contacts","Status","Notes"
"NetworkBlast","Complexes","CC BY 4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/","No Updates","5535","","","","","",""
"HPRD-phos","Interactions","HPRD","HPRD License","http://hprd.org/FAQ","No Updates","5505","","","","","",""
"SignaLink3","Interactions","CC BY-SA 3.0","Creative Commons Attribution-ShareAlike 3.0 International","https://creativecommons.org/licenses/by-sa/3.0/","Infrequent Updates","5150","http://bioinformatics.oxfordjournals.org/content/26/16/2042.long; http://www.biomedcentral.com/1752-0509/7/7","http://signalink.org/","20542890; 23331499","Tamas Korcsmaros (korcsmaros@gmail.com); Tamas Korcsmaros (tamas.korcsmaros@tgac.ac.uk)","",""
"SignaLink","Annotations; Intercellular","CC BY-SA 3.0","Creative Commons Attribution-ShareAlike 3.0 International","https://creativecommons.org/licenses/by-sa/3.0/","Infrequent Updates","5125","","","","","",""
"CancerDrugsDB","Interactions; Annotations","Unspecified NC-SA","Unspecified Non-commercial Redistributable","","Frequent Updates","5045","","","","","",""
"CytReg","Interactions","CC BY 4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/","Infrequent Updates","4899","","","","","",""
"hu.MAP","Complexes","Commercial","","","Infrequent Updates","4545","","","","","",""
"CellCall","Interactions; Annotations; Intercellular","Artistic-2.0","Artistic License 2.0","https://directory.fsf.org/wiki/License:Artistic-2.0","Infrequent Updates","4492","","","","","",""
"GPCRdb","Annotations; Intercellular","CC BY 4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/","Frequent Updates","4485","","","","","",""
"BEL-Large-Corpus","Interactions; Enzyme-Substrate","NAR Open Access","Nucleic Acids Research Open Access","","Infrequent Updates","4287","","","","","",""
"STRING","Interactions","CC BY 4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/","Frequent Updates","4172","http://nar.oxfordjournals.org/content/43/D1/D447.long; http://nar.oxfordjournals.org/content/41/D1/D808.long; http://nar.oxfordjournals.org/content/39/suppl_1/D561.long; http://nar.oxfordjournals.org/content/37/suppl_1/D412.long; http://nar.oxfordjournals.org/content/35/suppl_1/D358.long; http://nar.oxfordjournals.org/content/33/suppl_1/D433.long; http://nar.oxfordjournals.org/content/31/1/258.long; http://nar.oxfordjournals.org/content/28/18/3442.long","http://string-db.org/","25352553; 23203871; 21045058; 18940858; 17098935; 15608232; 12519996; 10982861","Peer Bork (bork@embl.de); Lars Juhl Jensen (lars.juhl.jensen@cpr.ku.dk); Christian von Mering (mering@imls.uzh.ch)","",""
"Pavlidis2021","Interactions","CC BY 4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/","No Updates","4134","","","","","",""
"TransmiR","Interactions","CC BY-NC 4.0","Creative Commons Attribution-NonCommercial 4.0 International","https://creativecommons.org/licenses/by-nc/4.0/","Infrequent Updates","3788","","","","","",""
"DEPOD","Interactions; Enzyme-Substrate","CC BY-NC 4.0","Creative Commons Attribution-NonCommercial 4.0 International","https://creativecommons.org/licenses/by-nc/4.0/","Infrequent Updates","3642","http://stke.sciencemag.org/content/6/275/rs10.long; http://nar.oxfordjournals.org/content/43/D1/D531.long","http://www.koehn.embl.de/depod/index.php","23674824; 25332398","Maja Kohn (koehn@embl.de)","",""
"Macrophage","Interactions","CC BY 4.0","Creative Commons Attribution 4.0 International","https://creativecommons.org/licenses/by/4.0/","No Updates","3476","http://www.biomedcentral.com/1752-0509/4/63","http://www.macrophages.com/macrophage-pathways","20470404","Tom Freeman (tom.freeman@roslin.ed.ac.uk)","",""
"Lambert2018","Annotations","EUL","Elsevier User License","https://www.elsevier.com/about/policies/open-access-licenses/elsevier-user-license","No Updates","3424","","","","","",""
"TCDB","Annotations","CC BY-SA 3.0","Creative Commons Attribution-ShareAlike 3.0 International","https://creativecommons.org/licenses/by-sa/3.0/","Frequent Updates","3296","","","","","",""
