Index,PMID,Gut Microbiota,Gut Microbiota NCBI ID,Rank,Strain,Gene,Gene ID,Alteration,high/low-throughput,Associative mode,human/mouse,Sample,Experimental method,Measurement?technique,Description,Condition,DOID
3,22654425,Lactobacillus crispatus,47770,species,M206119,Il10,16153,inhibition,low-throughput,causally,mouse,fecal and colon,cell culture,"RT-PCR,HPLC analysis","several candidate strains were screened to find some probiotics as therapeutics using dextran sodium sulfate (DSS)-induced colitis in mice, and China Center for Type Culture Collection (CCTCC) M206119 strain led to an exacerbated phenotype of DSS-colitis mice. Expression of protective factors zonula occludens-1 and ¦Â-defensin 2 was downregulated after CCTCC M206119 treatment. There was an increase in the nuclear translocation of nuclear factor-¦ÊB in epithelial cells. Then, intestinal proinflammatory and anti-inflammatory cytokine responses were evaluated. Proinflammatory colonic cytokines [interleukin (IL)-1¦Â, IL-6 and tumor necrosis factor-¦Á] levels were clearly increased in CCTCC-M206119-treated animals, whereas anti-inflammatory colonic cytokine (IL-10) level was lowered compared with saline- or 5-ASA-treated DSS-colitis mice. Next, CCTCC M206119 strain was identified as Lactobacillus crispatus, so it was concluded that not all lactobacilli strains have beneficial effects on intestinal inflammation and that Lactobacillus crispatus (L. crispatus) CCTCC M206119 is involved in exacerbation of intestinal inflammation in DSS-colitis mice.",inflammatory bowel disease,DOID:0050589
3,22654425,Lactobacillus crispatus,47770,species,M206119,Il1b,16176,activation,low-throughput,causally,mouse,fecal and colon,cell culture,"RT-PCR,HPLC analysis","several candidate strains were screened to find some probiotics as therapeutics using dextran sodium sulfate (DSS)-induced colitis in mice, and China Center for Type Culture Collection (CCTCC) M206119 strain led to an exacerbated phenotype of DSS-colitis mice. Expression of protective factors zonula occludens-1 and ¦Â-defensin 2 was downregulated after CCTCC M206119 treatment. There was an increase in the nuclear translocation of nuclear factor-¦ÊB in epithelial cells. Then, intestinal proinflammatory and anti-inflammatory cytokine responses were evaluated. Proinflammatory colonic cytokines [interleukin (IL)-1¦Â, IL-6 and tumor necrosis factor-¦Á] levels were clearly increased in CCTCC-M206119-treated animals, whereas anti-inflammatory colonic cytokine (IL-10) level was lowered compared with saline- or 5-ASA-treated DSS-colitis mice. Next, CCTCC M206119 strain was identified as Lactobacillus crispatus, so it was concluded that not all lactobacilli strains have beneficial effects on intestinal inflammation and that Lactobacillus crispatus (L. crispatus) CCTCC M206119 is involved in exacerbation of intestinal inflammation in DSS-colitis mice.",inflammatory bowel disease,DOID:0050589
3,22654425,Lactobacillus crispatus,47770,species,M206119,Il6,16193,activation,low-throughput,causally,mouse,fecal and colon,cell culture,"RT-PCR,HPLC analysis","several candidate strains were screened to find some probiotics as therapeutics using dextran sodium sulfate (DSS)-induced colitis in mice, and China Center for Type Culture Collection (CCTCC) M206119 strain led to an exacerbated phenotype of DSS-colitis mice. Expression of protective factors zonula occludens-1 and ¦Â-defensin 2 was downregulated after CCTCC M206119 treatment. There was an increase in the nuclear translocation of nuclear factor-¦ÊB in epithelial cells. Then, intestinal proinflammatory and anti-inflammatory cytokine responses were evaluated. Proinflammatory colonic cytokines [interleukin (IL)-1¦Â, IL-6 and tumor necrosis factor-¦Á] levels were clearly increased in CCTCC-M206119-treated animals, whereas anti-inflammatory colonic cytokine (IL-10) level was lowered compared with saline- or 5-ASA-treated DSS-colitis mice. Next, CCTCC M206119 strain was identified as Lactobacillus crispatus, so it was concluded that not all lactobacilli strains have beneficial effects on intestinal inflammation and that Lactobacillus crispatus (L. crispatus) CCTCC M206119 is involved in exacerbation of intestinal inflammation in DSS-colitis mice.",healthy,
3,22654425,Lactobacillus crispatus,47770,species,M206119,Tnf,21926,activation,low-throughput,causally,mouse,fecal and colon,cell culture,"RT-PCR,HPLC analysis","several candidate strains were screened to find some probiotics as therapeutics using dextran sodium sulfate (DSS)-induced colitis in mice, and China Center for Type Culture Collection (CCTCC) M206119 strain led to an exacerbated phenotype of DSS-colitis mice. Expression of protective factors zonula occludens-1 and ¦Â-defensin 2 was downregulated after CCTCC M206119 treatment. There was an increase in the nuclear translocation of nuclear factor-¦ÊB in epithelial cells. Then, intestinal proinflammatory and anti-inflammatory cytokine responses were evaluated. Proinflammatory colonic cytokines [interleukin (IL)-1¦Â, IL-6 and tumor necrosis factor-¦Á] levels were clearly increased in CCTCC-M206119-treated animals, whereas anti-inflammatory colonic cytokine (IL-10) level was lowered compared with saline- or 5-ASA-treated DSS-colitis mice. Next, CCTCC M206119 strain was identified as Lactobacillus crispatus, so it was concluded that not all lactobacilli strains have beneficial effects on intestinal inflammation and that Lactobacillus crispatus (L. crispatus) CCTCC M206119 is involved in exacerbation of intestinal inflammation in DSS-colitis mice.",healthy,
4,35613310,Adlercreutzia,447020,genus,,Tnf,21926,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,healthy,
4,35613310,Akkermansia,239934,genus,,Tnf,21926,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,healthy,
4,35613310,Adlercreutzia,447020,genus,,Il17a,16171,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,healthy,
4,35613310,Akkermansia,239934,genus,,Il13,16163,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,healthy,
4,35613310,Akkermansia,239934,genus,,Il10,16153,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,healthy,
4,35613310,Akkermansia,239934,genus,,Il4,16189,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,healthy,
4,35613310,Akkermansia,239934,genus,,Nos2,18126,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Akkermansia,239934,genus,,Cxcl10,15945,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Mucispirillum,248038,genus,,Il13,16163,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Mucispirillum,248038,genus,,Il10,16153,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Mucispirillum,248038,genus,,Il4,16189,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Mucispirillum,248038,genus,,Chil4,104183,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Mucispirillum,248038,genus,,Chil3,12655,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Mucispirillum,248038,genus,,Nos2,18126,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Mucispirillum,248038,genus,,Il6,16193,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Adlercreutzia,447020,genus,,Nos2,18126,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Adlercreutzia,447020,genus,,Il6,16193,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Adlercreutzia,447020,genus,,Cxcl10,15945,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Adlercreutzia,447020,genus,,Il13,16163,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Adlercreutzia,447020,genus,,Il10,16153,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Adlercreutzia,447020,genus,,Chil3,12655,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Muribaculum,1918540,genus,,Il13,16163,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Muribaculum,1918540,genus,,Il10,16153,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Muribaculum,1918540,genus,,Il4,16189,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Helicobacter,209,genus,,Il13,16163,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Helicobacter,209,genus,,Il10,16153,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Helicobacter,209,genus,,Il4,16189,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Helicobacter,209,genus,,Il6,16193,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Helicobacter,209,genus,,Nos2,18126,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Helicobacter,209,genus,,Tnf,21926,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Helicobacter,209,genus,,Cxcl10,15945,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Lachnoclostridium,1506553,genus,,Il13,16163,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Lachnoclostridium,1506553,genus,,Il4,16189,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Lachnoclostridium,1506553,genus,,Il6,16193,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Lachnoclostridium,1506553,genus,,Nos2,18126,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Lachnoclostridium,1506553,genus,,Cxcl10,15945,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Lachnoclostridium,1506553,genus,,Tnf,21926,activation,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Mucispirillum,248038,genus,,Il17a,16171,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
4,35613310,Mucispirillum,248038,genus,,Tnf,21926,inhibition,low-throughput,correlatively,mouse,Colon tissues,control experiment,qRT-PCR,,,
5,30765132,Faecalibacterium prausnitzii,853,species,,IL10,3586,activation,low-throughput,causally,human,cecum and fecal,cell culture,qPCR,"In the evaluation of our study, a lower count of A.muciniphila and F. prausnitzii was observed in the micro biota of allergic children. F. prausnitzii and A.muciniphila may have induced anti-inflammatory cytokine IL-10 and may prevent the secretion of pro-inflammatory cytokines like IL-12. These findings suggest that A. muciniphila and F.prausnitzii may suppress inflammation through its secreted metabolites.29 We suggest that all of the aforementioned mechanisms that result from the decrease of F.prausnitzii and A. muciniphila may contribute to allergic asthma in our patient group.",,
5,30765132,Akkermansia muciniphila,239935,species,,IL12B,3593,inhibition,low-throughput,causally,human,cecum and fecal,cell culture,qPCR,"In the evaluation of our study, a lower count of A.muciniphila and F. prausnitzii was observed in the micro biota of allergic children. F. prausnitzii and A.muciniphila may have induced anti-inflammatory cytokine IL-10 and may prevent the secretion of pro-inflammatory cytokines like IL-12. These findings suggest that A. muciniphila and F.prausnitzii may suppress inflammation through its secreted metabolites.29 We suggest that all of the aforementioned mechanisms that result from the decrease of F.prausnitzii and A. muciniphila may contribute to allergic asthma in our patient group.",,
5,30765132,Faecalibacterium prausnitzii,853,species,,IL12A,3592,inhibition,low-throughput,causally,human,cecum and fecal,cell culture,qPCR,"In the evaluation of our study, a lower count of A.muciniphila and F. prausnitzii was observed in the micro biota of allergic children. F. prausnitzii and A.muciniphila may have induced anti-inflammatory cytokine IL-10 and may prevent the secretion of pro-inflammatory cytokines like IL-12. These findings suggest that A. muciniphila and F.prausnitzii may suppress inflammation through its secreted metabolites.29 We suggest that all of the aforementioned mechanisms that result from the decrease of F.prausnitzii and A. muciniphila may contribute to allergic asthma in our patient group.",,
5,30765132,Akkermansia muciniphila,239935,species,,IL10,3586,activation,low-throughput,causally,human,cecum and fecal,cell culture,qPCR,"In the evaluation of our study, a lower count of A.muciniphila and F. prausnitzii was observed in the micro biota of allergic children. F. prausnitzii and A.muciniphila may have induced anti-inflammatory cytokine IL-10 and may prevent the secretion of pro-inflammatory cytokines like IL-12. These findings suggest that A. muciniphila and F.prausnitzii may suppress inflammation through its secreted metabolites.29 We suggest that all of the aforementioned mechanisms that result from the decrease of F.prausnitzii and A. muciniphila may contribute to allergic asthma in our patient group.",,
5,30765132,Akkermansia muciniphila,239935,species,,IL12A,3592,inhibition,low-throughput,causally,human,cecum and fecal,cell culture,qPCR,"In the evaluation of our study, a lower count of A.muciniphila and F. prausnitzii was observed in the micro biota of allergic children. F. prausnitzii and A.muciniphila may have induced anti-inflammatory cytokine IL-10 and may prevent the secretion of pro-inflammatory cytokines like IL-12. These findings suggest that A. muciniphila and F.prausnitzii may suppress inflammation through its secreted metabolites.29 We suggest that all of the aforementioned mechanisms that result from the decrease of F.prausnitzii and A. muciniphila may contribute to allergic asthma in our patient group.",,
5,30765132,Faecalibacterium prausnitzii,853,species,,IL12B,3593,inhibition,low-throughput,causally,human,cecum and fecal,cell culture,qPCR,"In the evaluation of our study, a lower count of A.muciniphila and F. prausnitzii was observed in the micro biota of allergic children. F. prausnitzii and A.muciniphila may have induced anti-inflammatory cytokine IL-10 and may prevent the secretion of pro-inflammatory cytokines like IL-12. These findings suggest that A. muciniphila and F.prausnitzii may suppress inflammation through its secreted metabolites.29 We suggest that all of the aforementioned mechanisms that result from the decrease of F.prausnitzii and A. muciniphila may contribute to allergic asthma in our patient group.",,
6,29033903,Akkermansia muciniphila,239935,species,Muc(T),Il12b,16160,inhibition,low-throughput,causally,mouse,,in vivo experiment,qPCR,"A. muciniphila significantly reduced the increase in IFN-g, IL-2, IL-1b, and IL-12p40.",infectious disease,
6,29033903,Akkermansia muciniphila,239935,species,Muc(T),Gpt,76282,inhibition,low-throughput,causally,mouse,,in vivo experiment,qPCR,A. muciniphila treatment significantly reduced the Con A-induced elevation of serum ALT and AST activities.,infectious disease,
6,29033903,Akkermansia muciniphila,239935,species,Muc(T),Slc17a5,235504,inhibition,low-throughput,causally,mouse,,in vivo experiment,qPCR,A. muciniphila treatment significantly reduced the Con A-induced elevation of serum ALT and AST activities.,infectious disease,
6,29033903,Akkermansia muciniphila,239935,species,Muc(T),Ifng,15978,inhibition,low-throughput,causally,mouse,,in vivo experiment,qPCR,"Serum levels of pro-inflammatory cytokines and chemokines (IL-2, IFN-¦Ã, IL-12p40, MCP-1, MIP-1a, MIP-1b) were substantially attenuated.",infectious disease,
6,29033903,Akkermansia muciniphila,239935,species,Muc(T),Il2,16183,inhibition,low-throughput,causally,mouse,,in vivo experiment,qPCR,"Serum levels of pro-inflammatory cytokines and chemokines (IL-2, IFN-¦Ã, IL-12p40, MCP-1, MIP-1a, MIP-1b) were substantially attenuated.",infectious disease,
6,29033903,Akkermansia muciniphila,239935,species,Muc(T),Ccl2,20296,inhibition,low-throughput,causally,mouse,,in vivo experiment,qPCR,"Serum levels of pro-inflammatory cytokines and chemokines (IL-2, IFN-¦Ã, IL-12p40, MCP-1, MIP-1a, MIP-1b) were substantially attenuated.",infectious disease,
6,29033903,Akkermansia muciniphila,239935,species,Muc(T),Ccr1,12768,inhibition,low-throughput,causally,mouse,,in vivo experiment,qPCR,"Serum levels of pro-inflammatory cytokines and chemokines (IL-2, IFN-¦Ã, IL-12p40, MCP-1, MIP-1a, MIP-1b) were substantially attenuated.",acute liver injury,
6,29033903,Akkermansia muciniphila,239935,species,Muc(T),Ccl4,20303,inhibition,low-throughput,causally,mouse,,in vivo experiment,qPCR,"Serum levels of pro-inflammatory cytokines and chemokines (IL-2, IFN-¦Ã, IL-12p40, MCP-1, MIP-1a, MIP-1b) were substantially attenuated.",acute liver injury,
6,29033903,Akkermansia muciniphila,239935,species,Muc(T),Il1b,16176,inhibition,low-throughput,causally,mouse,,in vivo experiment,qPCR,"A. muciniphila significantly reduced the increase in IFN-g, IL-2, IL-1b, and IL-12p40.",acute liver injury,
6,29033903,Akkermansia muciniphila,239935,species,Muc(T),Bcl2,12043,activation,low-throughput,causally,mouse,,in vivo experiment,qPCR,"A. muciniphila significantly decreased hepatocellular apoptosis; Bcl-2 expression increased, but Fas and DR5 decreased.",acute liver injury,
6,29033903,Akkermansia muciniphila,239935,species,Muc(T),Fas,14102,inhibition,low-throughput,causally,mouse,,in vivo experiment,qPCR,"A. muciniphila significantly decreased hepatocellular apoptosis; Bcl-2 expression increased, but Fas and DR5 decreased.",acute liver injury,
6,29033903,Akkermansia muciniphila,239935,species,Muc(T),Tnfrsf10b,21933,inhibition,low-throughput,causally,mouse,,in vivo experiment,qPCR,"A. muciniphila significantly decreased hepatocellular apoptosis; Bcl-2 expression increased, but Fas and DR5 decreased.",acute liver injury,
6,29033903,Akkermansia muciniphila,239935,species,Muc(T),Ocln,18260,activation,low-throughput,causally,mouse,,in vivo experiment,qPCR,Further investigation showed that A. muciniphila enhanced expression of Occludin and Tjp-1 and inhibited CB1 receptor.,acute liver injury,
6,29033903,Akkermansia muciniphila,239935,species,Muc(T),Tjp1,21872,activation,low-throughput,causally,mouse,,in vivo experiment,qPCR,Further investigation showed that A. muciniphila enhanced expression of Occludin and Tjp-1 and inhibited CB1 receptor.,acute liver injury,
6,29033903,Akkermansia muciniphila,239935,species,Muc(T),Cnr1,12801,inhibition,low-throughput,causally,mouse,,in vivo experiment,qPCR,Further investigation showed that A. muciniphila enhanced expression of Occludin and Tjp-1 and inhibited CB1 receptor.,acute liver injury,
7,23692866,Bififidobacterium thetaiotaomicron,,species,ATCC 29148,Muc2,17831,activation,low-throughput,causally,mouse,fecal and colon,cell culture,"Western blot assay,real-time qPC,immunohistochemisty assay","The amount of KLF4 protein, a transcription factor involved in goblet cell terminal differentiation [30], was higher in Bt-2d and Bt-30d than GF rats (Figure 2D). Also, muc2, muc4, c1galt1 and b4galt4 mRNAs, encoding proteins involved in mucin synthesis and glycosylation, were significantly more abundant in Bt-2d and Bt-30d rats than in GF rats(Table 1). The klf4 mRNA level was higher in Bt-2d, but not in Bt-30d, than in controls (Table 1).",acute liver injury,
7,23692866,Bififidobacterium thetaiotaomicron,,species,ATCC 29148,Muc4,140474,activation,low-throughput,causally,mouse,fecal and colon,cell culture,"Western blot assay,real-time qPC,immunohistochemisty assay","The amount of KLF4 protein, a transcription factor involved in goblet cell terminal differentiation [30], was higher in Bt-2d and Bt-30d than GF rats (Figure 2D). Also, muc2, muc4, c1galt1 and b4galt4 mRNAs, encoding proteins involved in mucin synthesis and glycosylation, were significantly more abundant in Bt-2d and Bt-30d rats than in GF rats(Table 1). The klf4 mRNA level was higher in Bt-2d, but not in Bt-30d, than in controls (Table 1).",acute liver injury,
7,23692866,Bififidobacterium thetaiotaomicron,,species,ATCC 29148,C1galt1,94192,activation,low-throughput,causally,mouse,fecal and colon,cell culture,"Western blot assay,real-time qPC,immunohistochemisty assay","The amount of KLF4 protein, a transcription factor involved in goblet cell terminal differentiation [30], was higher in Bt-2d and Bt-30d than GF rats (Figure 2D). Also, muc2, muc4, c1galt1 and b4galt4 mRNAs, encoding proteins involved in mucin synthesis and glycosylation, were significantly more abundant in Bt-2d and Bt-30d rats than in GF rats(Table 1). The klf4 mRNA level was higher in Bt-2d, but not in Bt-30d, than in controls (Table 1).",acute liver injury,
7,23692866,Bififidobacterium thetaiotaomicron,,species,ATCC 29148,B4galt4,56375,activation,low-throughput,causally,mouse,fecal and colon,cell culture,"Western blot assay,real-time qPC,immunohistochemisty assay","The amount of KLF4 protein, a transcription factor involved in goblet cell terminal differentiation [30], was higher in Bt-2d and Bt-30d than GF rats (Figure 2D). Also, muc2, muc4, c1galt1 and b4galt4 mRNAs, encoding proteins involved in mucin synthesis and glycosylation, were significantly more abundant in Bt-2d and Bt-30d rats than in GF rats(Table 1). The klf4 mRNA level was higher in Bt-2d, but not in Bt-30d, than in controls (Table 1).",acute liver injury,
7,23692866,Bififidobacterium thetaiotaomicron,,species,ATCC 29148,St3gal4,20443,activation,low-throughput,causally,mouse,fecal and colon,cell culture,"Western blot assay,real-time qPC,immunohistochemisty assay",We observed an increase in the expression of the sialyltransferase st3gal4.,acute liver injury,
8,28760826,Helicobacter pylori,210,species,,Mir21a,387140,activation,low-throughput,causally,mouse,fecal and Caco-2 cells,cell culture,"RT-qPCR,Western blot assay","In fact,miR-21 was reportedly induced by pathogenic microbes such as Helicobacter pylori, Salmonella Typhimurium, and Mycobacterium species, leading to excessive immune responses (24, 25). Neither LPS nor P3CSK4 acted in a dose-dependent manner, suggesting that cellular mechanisms suppress the excessive induction of miR-21-5p.",acute liver injury,
8,28760826,Salmonella enterica,28901,species,,Mir21a,387140,activation,low-throughput,causally,mouse,fecal and Caco-2 cells,cell culture,"RT-qPCR,Western blot assay","In fact,miR-21 was reportedly induced by pathogenic microbes such as Helicobacter pylori, Salmonella Typhimurium, and Mycobacterium species, leading to excessive immune responses (24, 25). Neither LPS nor P3CSK4 acted in a dose-dependent manner, suggesting that cellular mechanisms suppress the excessive induction of miR-21-5p.",healthy,
8,28760826,Mycobacterium,1763,genus,,Mir21a,387140,activation,low-throughput,causally,mouse,fecal and Caco-2 cells,cell culture,"RT-qPCR,Western blot assay","In fact,miR-21 was reportedly induced by pathogenic microbes such as Helicobacter pylori, Salmonella Typhimurium, and Mycobacterium species, leading to excessive immune responses (24, 25). Neither LPS nor P3CSK4 acted in a dose-dependent manner, suggesting that cellular mechanisms suppress the excessive induction of miR-21-5p.",healthy,
